model,component,n_total,n_selected,selection_rate,logLik,logLik_null,pseudo_r2,pcp,outcome_n,naive_r_squared,heckman_rho,heckman_sigma,imr_term,imr_estimate,imr_p_value
Mean Brier loss,Selection equation,8303,668,0.08045284836805974,-1518.3878173154696,-2323.7937711965455,0.346590977161611,0.796820426351921,668,0.005677667609534748,-0.22791404621668032,0.20364514752127152,invMillsRatio,-0.04641358956396576,0.056058350557766666
Brier loss at 1d,Selection equation,8303,667,0.08033240997229917,-1514.002062072302,-2321.356746790626,0.34779431719597864,0.7982656871010478,667,0.005782584596741024,-0.25449890922588053,0.21471755368729073,invMillsRatio,-0.05464538320506493,0.03298122493034711
