market_id,ric,ticker,slug,event_datetime_utc,event_date,event_quarter,n_rows_selected_horizons,n_snapshots_ok,any_ok_snapshot,loss_mean,loss_target,volume_num,market_cap_usd_asof,analysts_covering_asof,turnover_6m_avg_daily_volume,volatility_6m,selected_mean,selected_target,log_market_cap,analysts,log_turnover,log_volatility_6m,log_volume,approx_event_key,market_row_id,n_candidates_total,n_candidates_accepted,closest_candidate_time_diff_hours,matched_event_key,matched_universe_ric,matched_universe_ticker,matched_event_date,matched_event_datetime_utc,match_tier,match_rule,identifier_method,match_time_diff_hours,quarter_consistent,match_status,unmatched_reason
1114909,TSM,TSM,tsm-quarterly-earnings-gaap-eps-01-15-2026-2pt92,NA,NA,NA,9,9,1,0.004529999999999666,0.001849,97961.83422,1402733588425.96,17,12218384.4296875,0.020875174053886,1,1,27.96944401193747,17,16.31845237774826,0.020660273191095074,11.492343443068966,TSM__NA,12,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unmatched,candidate_found_but_failed_time_or_quarter_rules
1118155,IBKR.N,IBKR,ibkr-quarterly-earnings-nongaap-eps-01-20-2026-0pt56,2026-01-20T21:00:00Z,2026-01-20,NA,9,9,1,0.09992499999999956,0.0729,17864.819232,124425979116.88,10,56145.43650793651,0.02233545621282,1,1,25.54697683079312,10,10.935718494358136,0.02208967296607449,9.79064462622112,IBKR.N__2026-01-20,13,2,1,0,IBKR.N__2026-01-20,IBKR.N,IBKR,2026-01-20,2026-01-20T21:00:00Z,1,exact_ric_plus_event_date,ric_exact,0,TRUE,matched,NA
1118156,UAL.N,UAL,ual-quarterly-earnings-nongaap-eps-01-20-2026-2pt98,2026-01-20T21:00:00Z,2026-01-20,NA,9,9,1,0.08988611111111056,0.042024999999999,7429.686056,36741024371.61,27,72866.55555555556,0.024825751586292,1,1,24.327159797988962,27,11.19639876482317,0.024522599686598714,8.913373469384501,UAL.N__2026-01-20,14,2,1,0,UAL.N__2026-01-20,UAL.N,UAL,2026-01-20,2026-01-20T21:00:00Z,1,exact_ric_plus_event_date,ric_exact,0,TRUE,matched,NA
1118157,WTFC.N,WTFC,wtfc-quarterly-earnings-gaap-eps-01-20-2026-2pt92,2026-01-20T22:00:03Z,2026-01-20,NA,9,9,1,0.08142222222222179,0.050624999999999,4260.217618,9773649054.09,14,4756.555555555556,0.015928174264753,1,1,23.002955729081595,14,8.467489276570449,0.01580265203600153,8.357310224244594,WTFC.N__2026-01-20,15,2,1,0,WTFC.N__2026-01-20,WTFC.N,WTFC,2026-01-20,2026-01-20T22:00:03Z,1,exact_ric_plus_event_date,ric_exact,0,TRUE,matched,NA
1118261,BFC.N,BFC,bfc-quarterly-earnings-gaap-eps-01-20-2026-1pt8,2026-01-22T21:00:00Z,2026-01-22,NA,9,9,1,0.13937777777777746,0.087025,6911.297705,1522004103.68,2,1037.6771653543308,0.023077901879473,1,1,21.143293792624057,2,6.945703226122213,0.022815634490010603,8.841057380302901,BFC.N__2026-01-22,16,2,1,0,BFC.N__2026-01-22,BFC.N,BFC,2026-01-22,2026-01-22T21:00:00Z,1,exact_ric_plus_event_date,ric_exact,0,TRUE,matched,NA
1118262,NFLX.N,NFLX,nflx-quarterly-earnings-gaap-eps-01-20-2026-0pt55,2026-01-20T21:00:00Z,2026-01-20,NA,9,9,1,0.08376944444444412,0.050624999999999,75530.166069,371550269200,45,501864.5714285714,0.018692513342585,1,1,26.64095000608199,45,13.126087576813932,0.018519955360005436,11.23230064567634,NFLX.N__2026-01-20,17,2,1,0,NFLX.N__2026-01-20,NFLX.N,NFLX,2026-01-20,2026-01-20T21:00:00Z,1,exact_ric_plus_event_date,ric_exact,0,TRUE,matched,NA
1118263,USB,USB,usb-quarterly-earnings-gaap-eps-01-20-2026-1pt19,2026-01-20T11:45:00Z,2026-01-20,NA,9,9,1,0.045913888888888664,0.027225,13939.05248,84592000000,24,9104862.42857143,0.012982752466322,1,1,25.161105536439507,24,16.0243192714236,0.012899198928432226,9.54252144901331,USB__2026-01-20,18,2,1,0,USB__2026-01-20,USB,USB,2026-01-20,2026-01-20T11:45:00Z,1,exact_ric_plus_event_date,ric_exact,0,TRUE,matched,NA
1118342,KEY,KEY,key-quarterly-earnings-gaap-eps-01-20-2026-0pt39,2026-01-20T11:30:00Z,2026-01-20,NA,9,9,1,0.082941666666666,0.060024999999999,13078.169675,23337829170,24,22885440.595238097,0.014796412128069,1,1,23.873341450481785,24,16.946011528158042,0.014688013190887314,9.47877614249163,KEY__2026-01-20,19,2,1,0,KEY__2026-01-20,KEY,KEY,2026-01-20,2026-01-20T11:30:00Z,1,exact_ric_plus_event_date,ric_exact,0,TRUE,matched,NA
1118343,MMM,MMM,mmm-quarterly-earnings-nongaap-eps-01-20-2026-1pt81,2026-01-20T11:30:00Z,2026-01-20,NA,9,9,1,0.019194444444444,0.0144,43951.518534,88980838181.8,20,3013236.746031746,0.015039170470891,1,1,25.211686882169804,20,14.918525721747471,0.014927203346051082,10.690865205999353,MMM__2026-01-20,20,2,1,0,MMM__2026-01-20,MMM,MMM,2026-01-20,2026-01-20T11:30:00Z,1,exact_ric_plus_event_date,ric_exact,0,TRUE,matched,NA
1118344,MBWM.N,MBWM,mbwm-quarterly-earnings-gaap-eps-01-20-2026-1pt34,2026-01-20T10:05:00Z,2026-01-20,NA,9,9,1,0.06679722222222167,0.07562500000000001,13720.47523,863178966.4,5,3849.84126984127,0.017432069963276,1,1,20.57613260460483,5,8.25604691505872,0.017281874399097,9.526717419552059,MBWM.N__2026-01-20,21,2,1,0,MBWM.N__2026-01-20,MBWM.N,MBWM,2026-01-20,2026-01-20T10:05:00Z,1,exact_ric_plus_event_date,ric_exact,0,TRUE,matched,NA
