"horizon","horizon_seconds","n","BS_polymarket","BS_dice","BS_hist","BSS_vs_dice","BSS_vs_hist"
"1w",604800,478,0.170629816422594,0.25,0.202064363378752,0.317480734309625,0.155567000685011
"6d",518400,555,0.170302054054054,0.25,0.195486394226879,0.318791783783785,0.128829120166781
"5d",432000,610,0.162886664344262,0.25,0.196786683996506,0.348453342622952,0.172267853514143
"4d",345600,645,0.160499925193798,0.25,0.197523262192457,0.358000299224808,0.187437857129886
"3d",259200,666,0.160855433558558,0.25,0.197265915753633,0.356578265765767,0.184575637691754
"2d",172800,678,0.159663219764011,0.25,0.197443454074361,0.361347120943954,0.191347109923029
"1d",86400,683,0.158161770497803,0.25,0.198876175323218,0.367352918008786,0.204722384464829
"12h",43200,684,0.156032130116959,0.25,0.198008190859036,0.375871479532165,0.211991537117574
"6h",21600,684,0.157607346491228,0.25,0.197849351999862,0.369570614035089,0.203397206520356
