term,AR[0],"CAR[0,1]","CAR[0,3]","CAR[0,5]","CAR[-5,5]"
Q1,0.0039,0.0041,-0.0045,-0.0026,-0.0122
,(0.0090),(0.0100),(0.0104),(0.0106),(0.0118)
Q2,0.0128,0.0104,0.0113,0.0106,0.0052
,(0.0082),(0.0090),(0.0094),(0.0099),(0.0102)
Q3,0.0093,0.0105,0.0126,0.0101,0.0159
,(0.0077),(0.0091),(0.0095),(0.0101),(0.0121)
Q4,0.0068,0.0070,0.0060,0.0041,-0.0003
,(0.0085),(0.0096),(0.0105),(0.0103),(0.0114)
Q5,0.0061,0.0040,0.0047,0.0061,0.0119
,(0.0076),(0.0084),(0.0088),(0.0092),(0.0102)
