signal_bin,signal_bin_id,n_events,mean_signal,min_signal,max_signal
Q1,1,128,0.38186328125,0.0635,0.58
Q2,2,128,0.67069921875,0.58,0.74
Q3,3,128,0.7930859375,0.74,0.8305
Q4,4,128,0.86407421875,0.835,0.895
Q5,5,127,0.9276653543307087,0.895,0.9855
