term,AR[0],"CAR[0,1]","CAR[0,3]","CAR[0,5]","CAR[-5,5]"
Constant (signal = 50%),0.0062,0.0052,-0.0010,0.0000,-0.0072
,(0.0060),(0.0066),(0.0068),(0.0070),(0.0079)
Trend: abnormal return per +10pp signal,0.0007,0.0009,0.0031,0.0025,0.0050*
,(0.0019),(0.0021),(0.0022),(0.0023),(0.0026)
N,639,639,639,639,639
R-squared,0.0002,0.0003,0.0032,0.0020,0.0064
