market_id,ticker,slug,ric,signal_bin,signal_bin_id,signal_value,release_dt_ny,purchase_date,event_trading_date,n_days_observed,abnormal_return,window_name,start_day,end_day
599650,CASH,will-cash-beat-earnings-estimate-2025-09-19-1pt29,CASH.N,0.0-0.2,1,0.0635,2025-10-21T20:10:00Z,2025-10-21,2025-10-22,4,-0.037067502435398414,"CAR[0,3]",0,3
599650,CASH,will-cash-beat-earnings-estimate-2025-09-19-1pt29,CASH.N,0.0-0.2,1,0.0635,2025-10-21T20:10:00Z,2025-10-21,2025-10-22,6,-0.06757899298044769,"CAR[0,5]",0,5
620023,NEOG,neog-quarterly-earnings-nongaap-eps-2025-10-09-0pt04,NEOG.N,0.0-0.2,1,0.14,2025-10-09T11:00:00Z,2025-10-08,2025-10-09,11,0.07733074769532197,"CAR[-5,5]",-5,5
620023,NEOG,neog-quarterly-earnings-nongaap-eps-2025-10-09-0pt04,NEOG.N,0.0-0.2,1,0.14,2025-10-09T11:00:00Z,2025-10-08,2025-10-09,1,0.16640645258288297,AR[0],0,0
620023,NEOG,neog-quarterly-earnings-nongaap-eps-2025-10-09-0pt04,NEOG.N,0.0-0.2,1,0.14,2025-10-09T11:00:00Z,2025-10-08,2025-10-09,2,0.051536851886077206,"CAR[0,1]",0,1
620023,NEOG,neog-quarterly-earnings-nongaap-eps-2025-10-09-0pt04,NEOG.N,0.0-0.2,1,0.14,2025-10-09T11:00:00Z,2025-10-08,2025-10-09,4,0.04273337425259016,"CAR[0,3]",0,3
620023,NEOG,neog-quarterly-earnings-nongaap-eps-2025-10-09-0pt04,NEOG.N,0.0-0.2,1,0.14,2025-10-09T11:00:00Z,2025-10-08,2025-10-09,6,0.05161813200203354,"CAR[0,5]",0,5
643045,SBUX,sbux-quarterly-earnings-gaap-eps-10-29-2025-0pt51,SBUX.N,0.0-0.2,1,0.17,2025-10-29T20:05:00Z,2025-10-29,2025-10-30,11,-0.010481298294327373,"CAR[-5,5]",-5,5
643045,SBUX,sbux-quarterly-earnings-gaap-eps-10-29-2025-0pt51,SBUX.N,0.0-0.2,1,0.17,2025-10-29T20:05:00Z,2025-10-29,2025-10-30,1,0.0029802169622233,AR[0],0,0
643045,SBUX,sbux-quarterly-earnings-gaap-eps-10-29-2025-0pt51,SBUX.N,0.0-0.2,1,0.17,2025-10-29T20:05:00Z,2025-10-29,2025-10-30,2,-0.025009495931838842,"CAR[0,1]",0,1
643045,SBUX,sbux-quarterly-earnings-gaap-eps-10-29-2025-0pt51,SBUX.N,0.0-0.2,1,0.17,2025-10-29T20:05:00Z,2025-10-29,2025-10-30,4,-0.022487717643029873,"CAR[0,3]",0,3
643045,SBUX,sbux-quarterly-earnings-gaap-eps-10-29-2025-0pt51,SBUX.N,0.0-0.2,1,0.17,2025-10-29T20:05:00Z,2025-10-29,2025-10-30,6,0.024924037331140913,"CAR[0,5]",0,5
648382,MSTR,mstr-quarterly-earnings-gaap-eps-10-30-2025-9pt67,MSTR.N,0.0-0.2,1,0.17,2025-10-30T20:22:00Z,2025-10-30,2025-10-31,11,-0.15834857896060994,"CAR[-5,5]",-5,5
648382,MSTR,mstr-quarterly-earnings-gaap-eps-10-30-2025-9pt67,MSTR.N,0.0-0.2,1,0.17,2025-10-30T20:22:00Z,2025-10-30,2025-10-31,1,0.05160899907951165,AR[0],0,0
648382,MSTR,mstr-quarterly-earnings-gaap-eps-10-30-2025-9pt67,MSTR.N,0.0-0.2,1,0.17,2025-10-30T20:22:00Z,2025-10-30,2025-10-31,2,0.03051075057737425,"CAR[0,1]",0,1
648382,MSTR,mstr-quarterly-earnings-gaap-eps-10-30-2025-9pt67,MSTR.N,0.0-0.2,1,0.17,2025-10-30T20:22:00Z,2025-10-30,2025-10-31,4,0.01089438958781739,"CAR[0,3]",0,3
648382,MSTR,mstr-quarterly-earnings-gaap-eps-10-30-2025-9pt67,MSTR.N,0.0-0.2,1,0.17,2025-10-30T20:22:00Z,2025-10-30,2025-10-31,6,-0.020683901911594933,"CAR[0,5]",0,5
655224,BYND,bynd-quarterly-earnings-gaap-eps-11-04-2025-neg0pt48,BYND.OQ,0.0-0.2,1,0.145,2025-11-10T22:38:57Z,2025-11-10,2025-11-11,11,-0.22295315936757182,"CAR[-5,5]",-5,5
655224,BYND,bynd-quarterly-earnings-gaap-eps-11-04-2025-neg0pt48,BYND.OQ,0.0-0.2,1,0.145,2025-11-10T22:38:57Z,2025-11-10,2025-11-11,1,-0.08837246190851449,AR[0],0,0
655224,BYND,bynd-quarterly-earnings-gaap-eps-11-04-2025-neg0pt48,BYND.OQ,0.0-0.2,1,0.145,2025-11-10T22:38:57Z,2025-11-10,2025-11-11,2,-0.17176122926820497,"CAR[0,1]",0,1
655224,BYND,bynd-quarterly-earnings-gaap-eps-11-04-2025-neg0pt48,BYND.OQ,0.0-0.2,1,0.145,2025-11-10T22:38:57Z,2025-11-10,2025-11-11,4,-0.17230559829901138,"CAR[0,3]",0,3
655224,BYND,bynd-quarterly-earnings-gaap-eps-11-04-2025-neg0pt48,BYND.OQ,0.0-0.2,1,0.145,2025-11-10T22:38:57Z,2025-11-10,2025-11-11,6,-0.22311220636592716,"CAR[0,5]",0,5
655443,MET,met-quarterly-earnings-nongaap-eps-11-05-2025-2pt32,MET,0.0-0.2,1,0.18,2025-11-05T21:00:00Z,2025-11-05,2025-11-06,11,0.05997743292647538,"CAR[-5,5]",-5,5
655443,MET,met-quarterly-earnings-nongaap-eps-11-05-2025-2pt32,MET,0.0-0.2,1,0.18,2025-11-05T21:00:00Z,2025-11-05,2025-11-06,1,-0.018765682698650595,AR[0],0,0
655443,MET,met-quarterly-earnings-nongaap-eps-11-05-2025-2pt32,MET,0.0-0.2,1,0.18,2025-11-05T21:00:00Z,2025-11-05,2025-11-06,2,-0.016551844759232263,"CAR[0,1]",0,1
655443,MET,met-quarterly-earnings-nongaap-eps-11-05-2025-2pt32,MET,0.0-0.2,1,0.18,2025-11-05T21:00:00Z,2025-11-05,2025-11-06,4,-0.014464520046281792,"CAR[0,3]",0,3
655443,MET,met-quarterly-earnings-nongaap-eps-11-05-2025-2pt32,MET,0.0-0.2,1,0.18,2025-11-05T21:00:00Z,2025-11-05,2025-11-06,6,0.030591875565013273,"CAR[0,5]",0,5
667914,GETY,gety-quarterly-earnings-gaap-eps-11-10-2025-0pt04,GETY.N,0.0-0.2,1,0.165,2025-11-10T21:07:00Z,2025-11-10,2025-11-11,11,-0.22269977213876133,"CAR[-5,5]",-5,5
667914,GETY,gety-quarterly-earnings-gaap-eps-11-10-2025-0pt04,GETY.N,0.0-0.2,1,0.165,2025-11-10T21:07:00Z,2025-11-10,2025-11-11,1,-0.013916858377357262,AR[0],0,0
