"obs_number","model","fitted","deviance_residual","pearson_residual","std_deviance_resid","std_pearson_resid","leverage","cooks_d"
1,"Logit Loss at 6h | Ex-ante",0.1244208288756,0.187858771762277,0.200300593824454,0.18875004667565,0.20125089756984,0.00942167311309546,0.00014920174984224
2,"Logit Loss at 6h | Ex-ante",0.151237253044643,-0.54099031399818,-0.412072289779506,-0.54262622793921,-0.413318365330436,0.0060205271092153,0.000400761100840281
3,"Logit Loss at 6h | Ex-ante",0.157416806792143,1.15483206982323,1.41403809745533,1.15754614796899,1.41736135977015,0.00468386737723201,0.00366153995831127
4,"Logit Loss at 6h | Ex-ante",0.145846260301307,-0.476631893706094,-0.378936094982454,-0.478909662921698,-0.380746987168289,0.00948969159872882,0.000537929181050598
5,"Logit Loss at 6h | Ex-ante",0.143088208881064,-0.451447079285961,-0.364011299066472,-0.453013367299694,-0.365274230118088,0.00690302059963499,0.000359206867141099
6,"Logit Loss at 6h | Ex-ante",0.147804810693567,-0.144204484647521,-0.136880629626003,-0.144708558384282,-0.137359102474018,0.0069546100688971,0.0000511773304709954
7,"Logit Loss at 6h | Ex-ante",0.13705603236855,-0.274853530045419,-0.24470614521,-0.275592671536023,-0.24536421376346,0.00535682095711912,0.000125580243039792
8,"Logit Loss at 6h | Ex-ante",0.131394862276889,-0.449509022465317,-0.35630127355176,-0.450608927679076,-0.357173108395695,0.00487590347202769,0.000242099792683181
9,"Logit Loss at 6h | Ex-ante",0.146694995799592,-0.42576990954491,-0.35103005437121,-0.426464915611289,-0.351603058737652,0.00325672625515616,0.000156445215168382
10,"Logit Loss at 6h | Ex-ante",0.158105935522935,-0.352593257748105,-0.30665727928058,-0.353219279361511,-0.307201742569424,0.0035415216047156,0.000129908357747948
11,"Logit Loss at 6h | Ex-ante",0.156265265851507,-0.28816026393461,-0.258230655500648,-0.288594141331553,-0.25861946845872,0.00300457414395827,0.0000780676746331115
12,"Logit Loss at 6h | Ex-ante",0.123511421358469,-0.424499926990757,-0.338612529837005,-0.429012319707661,-0.342211947920114,0.0209255614398985,0.000969417371095082
13,"Logit Loss at 6h | Ex-ante",0.118376558737125,-0.293700641914829,-0.254684021577071,-0.295980665411065,-0.256661155673632,0.0153472299103743,0.000397673120455353
14,"Logit Loss at 6h | Ex-ante",0.130515027167373,-0.257710274307401,-0.230401082120451,-0.258279124159114,-0.230909651760334,0.00440007235263411,0.0000912679273929845
15,"Logit Loss at 6h | Ex-ante",0.136292270827221,-0.237197113981876,-0.215075954217816,-0.238396904117874,-0.216163851132028,0.0100401557080731,0.000183547325905035
16,"Logit Loss at 6h | Ex-ante",0.148499889615853,0.122152167545542,0.126830056264871,0.123273178489388,0.127993996978641,0.0181047309958322,0.000116994424566503
17,"Logit Loss at 6h | Ex-ante",0.114288441110849,-0.290896140583338,-0.251644209443127,-0.291907116834861,-0.252518770099278,0.00691470342086396,0.000171962357565456
18,"Logit Loss at 6h | Ex-ante",0.15397506327911,-0.463053162710812,-0.376117259471599,-0.46431002582427,-0.377138152854548,0.00540656850844609,0.000299458136125524
19,"Logit Loss at 6h | Ex-ante",0.178206024202004,-0.366218831889358,-0.321362678386778,-0.368024770187809,-0.322947417122351,0.00979014172296868,0.000399378257738459
20,"Logit Loss at 6h | Ex-ante",0.146628997257543,-0.484394298706254,-0.383348367824427,-0.485554787945073,-0.384266775941052,0.00477434253380806,0.000274357437293077
21,"Logit Loss at 6h | Ex-ante",0.169379659007541,-0.362563957128898,-0.316605714069185,-0.365276699717277,-0.318974592131641,0.0147979295843159,0.000591898005079953
22,"Logit Loss at 6h | Ex-ante",0.156958686383292,1.50592131514168,1.87008720508519,1.51002685475103,1.87518555718116,0.00543031194321035,0.0074359611525364
23,"Logit Loss at 6h | Ex-ante",0.169771955123477,-0.396059718226288,-0.340266256039818,-0.399942427151384,-0.343602002566002,0.0193220907028138,0.000900944732937518
24,"Logit Loss at 6h | Ex-ante",0.135019118363082,-0.047625155422817,-0.0468014617358285,-0.0478201134801807,-0.0469930479255385,0.00813718874631427,0.00000701696102775989
25,"Logit Loss at 6h | Ex-ante",0.136013403055408,-0.503380964039955,-0.384443780579878,-0.505067778309204,-0.385732039972132,0.00666840194109781,0.000386863717540042
26,"Logit Loss at 6h | Ex-ante",0.130922207751821,0.270818393415679,0.294910443252832,0.27191918162746,0.296109157769114,0.00808004856225695,0.00027663050998197
27,"Logit Loss at 6h | Ex-ante",0.165870867857976,-0.402910266209576,-0.343704321363004,-0.403868566512543,-0.344521803524458,0.00473997460413266,0.000218943437290671
28,"Logit Loss at 6h | Ex-ante",0.167670941909211,-0.55187660943464,-0.429489258555199,-0.553712928460326,-0.430918344846102,0.00662174918208834,0.000479410011935847
29,"Logit Loss at 6h | Ex-ante",0.164174262610545,-0.51091071539111,-0.407493408957036,-0.511930454039164,-0.408306734584044,0.00397992737892759,0.000258011579478068
30,"Logit Loss at 6h | Ex-ante",0.159258216512686,-0.31388769969395,-0.278473117963524,-0.315219849994951,-0.279654967549467,0.00843433813878311,0.000257652084262838
31,"Logit Loss at 6h | Ex-ante",0.136759211707432,-0.523785792700189,-0.392769855898594,-0.525539599078134,-0.394084978011372,0.00666317065492337,0.000403481116208134
32,"Logit Loss at 6h | Ex-ante",0.139981424716078,1.46809651029151,1.87947888319821,1.47124796734715,1.88351342516862,0.0042794713983965,0.00590539784758345
33,"Logit Loss at 6h | Ex-ante",0.169779952296537,1.50417771429155,1.82677977752133,1.50806470530458,1.83150041425897,0.00514829595664997,0.00672323440806069
34,"Logit Loss at 6h | Ex-ante",0.159346900238402,-0.268873604212818,-0.243502945359142,-0.270046772117138,-0.2445654142502,0.0086697544311765,0.00020259912922339
35,"Logit Loss at 6h | Ex-ante",0.114443319595372,1.36744966016659,1.83063805533868,1.37194998272002,1.83666274638771,0.00654971616364118,0.00861378901857188
