"loss_mean","eps_stddev","log_market_cap","analysts","log_turnover","log_volatility_6m","open_time_days",".fitted",".resid",".hat",".sigma",".cooksd",".std.resid","model","residual","fitted","std_resid","stud_resid","leverage","cooks_d"
0.70874775,0.08996,26.8640512231621,27,15.9458509177242,0.0124203506033438,13.7210648148148,0.1414643974335,0.5672833525665,0.00844687551263395,0.200089789113147,0.00976265357152524,2.83232382865605,"OLS Mean loss | Ex-ante",0.567283352566493,0.141464397433507,2.83232382865605,2.84719438693373,0.00844687551263395,0.00976265357152524
0.00776944444444444,0.05423,25.1291019314192,17,15.058925129306,0.0116712063567068,13.7225,0.155829047264751,-0.148059602820307,0.00648208267979588,0.20120814532024,0.000508323280863439,-0.738498451509192,"OLS Mean loss | Ex-ante",-0.148059602820306,0.15582904726475,-0.738498451509192,-0.738249514976794,0.00648208267979588,0.000508323280863439
0.660869444444444,0.03727,24.5779931009567,28,15.8953059655976,0.022408179625568,13.7227777777778,0.159064723507226,0.501804720937219,0.00496917414486284,0.200354651895647,0.00446256251931044,2.50102098646864,"OLS Mean loss | Ex-ante",0.501804720937218,0.159064723507226,2.50102098646864,2.51082847149563,0.00496917414486284,0.00446256251931044
0.0238777777777778,0.02763,26.709858302719,25,16.4433774877375,0.0124361783982803,10.4166319444444,0.134917475741545,-0.111039697963767,0.00948020055544884,0.201243598816519,0.000420679576620514,-0.554686443788066,"OLS Mean loss | Ex-ante",-0.111039697963767,0.134917475741545,-0.554686443788066,-0.554401780167049,0.00948020055544884,0.000420679576620514
0.483491666666667,0.0535,26.405733748307,26,16.4433774877375,0.015548431085592,10.4285763888889,0.14246998759733,0.341021679069336,0.00763035107510703,0.200857119018803,0.00318174399090206,1.70194731726261,"OLS Mean loss | Ex-ante",0.341021679069337,0.14246998759733,1.70194731726261,1.70434700854147,0.00763035107510703,0.00318174399090206
0.289736111111111,0.10269,26.0732293331283,23,16.4420319032209,0.0148425971121528,10.4461226851852,0.157919285483075,0.131816825628036,0.00752875448544998,0.20122494663106,0.000468956595664623,0.657828588072363,"OLS Mean loss | Ex-ante",0.131816825628036,0.157919285483076,0.657828588072363,0.657551937122814,0.00752875448544998,0.000468956595664623
0.0616166666666667,0.11892,26.3907614345404,27,15.4929304383862,0.0132184482436928,11.4320949074074,0.152738496059941,-0.0911218293932745,0.00618969272926473,0.201258685891276,0.000183742930583645,-0.454434759218051,"OLS Mean loss | Ex-ante",-0.0911218293932747,0.152738496059941,-0.454434759218051,-0.454167495916391,0.00618969272926473,0.000183742930583645
0.0106472222222222,0.334929,26.36296455849,27,14.4917565148796,0.0147887418875905,11.4293402777778,0.189833593220156,-0.179186370997934,0.0180182288281087,0.201168941263628,0.00211845320762669,-0.89898847018858,"OLS Mean loss | Ex-ante",-0.179186370997934,0.189833593220157,-0.89898847018858,-0.898860571874939,0.0180182288281087,0.00211845320762669
0.021425,0.06217,25.1397518676719,25,14.4634265995202,0.0120875852607781,12.466400462963,0.156235788443495,-0.134810788443495,0.00376038026697672,0.201222236717169,0.000243140399186057,-0.671496270377985,"OLS Mean loss | Ex-ante",-0.134810788443495,0.156235788443495,-0.671496270377985,-0.671222910878454,0.00376038026697672,0.000243140399186057
0.235347222222222,0.08834,24.3502000878595,19,14.486447460944,0.0134589545533466,12.4664467592593,0.171803401224274,0.0635438209979481,0.00382003138924763,0.201274540973834,0.0000548834819397143,0.316523008279654,"OLS Mean loss | Ex-ante",0.0635438209979479,0.171803401224274,0.316523008279654,0.316311935046542,0.00382003138924763,0.0000548834819397143
0.0447027777777778,0.08215,24.1844449232098,23,13.8654892937763,0.012856256727654,12.1090162037037,0.171610880936513,-0.126908103158736,0.00355792333313327,0.201229902533195,0.000203786240208534,-0.632068554557787,"OLS Mean loss | Ex-ante",-0.126908103158736,0.171610880936514,-0.632068554557787,-0.631787176959068,0.00355792333313327,0.000203786240208534
