id     , ric    , ticker, horizon, horizon_seconds, loss_polymarket        , log_poly_volume  , market_open_days  , log_mcap        , log_analysts     , log_turnover    , stock_volatility_6m, abs_surprise                      , eps_dispersion, gics_sector           , event_month, umaEndDate
 598106, FDX    , FDX   , 2d     ,          172800, 0.070225               ,  9.51497060454748,  4.15981481481481 , 24.6987146944363, 3.49650756146648 , 19.392435506788 ,   0.024145780277217,   0.209999999999999               ,        0.1266 , Industrials           , 2025-09    , 2025-09-19T05:44:48Z
 598106, FDX    , FDX   , 1d     ,           86400, 0.055224999999999      ,  9.51497060454748,  4.15981481481481 , 24.6987146944363, 3.49650756146648 , 19.392435506788 ,   0.024145780277217,   0.209999999999999               ,        0.1266 , Industrials           , 2025-09    , 2025-09-19T05:44:48Z
 598106, FDX    , FDX   , 12h    ,           43200, 0.1369                 ,  9.51497060454748,  4.15981481481481 , 24.6987146944363, 3.49650756146648 , 19.392435506788 ,   0.024145780277217,   0.209999999999999               ,        0.1266 , Industrials           , 2025-09    , 2025-09-19T05:44:48Z
 598106, FDX    , FDX   , 6h     ,           21600, 0.0000202499999999995  ,  9.51497060454748,  4.15981481481481 , 24.6987146944363, 3.49650756146648 , 19.392435506788 ,   0.024145780277217,   0.209999999999999               ,        0.1266 , Industrials           , 2025-09    , 2025-09-19T05:44:48Z
 613036, JEF    , JEF   , 3d     ,          259200, 0.1849                 , 10.7145614151682 ,  3.43476851851852 , 23.3451009652272, 1.6094379124341  , 19.1798563383334,   0.03018462904012 ,   0.209999999999999               ,        0.05888, Financials            , 2025-09    , 2025-09-30T00:37:21Z
 613036, JEF    , JEF   , 2d     ,          172800, 0.225625               , 10.7145614151682 ,  3.43476851851852 , 23.3451009652272, 1.6094379124341  , 19.1798563383334,   0.03018462904012 ,   0.209999999999999               ,        0.05888, Financials            , 2025-09    , 2025-09-30T00:37:21Z
 613036, JEF    , JEF   , 1d     ,           86400, 0.225625               , 10.7145614151682 ,  3.43476851851852 , 23.3451009652272, 1.6094379124341  , 19.1798563383334,   0.03018462904012 ,   0.209999999999999               ,        0.05888, Financials            , 2025-09    , 2025-09-30T00:37:21Z
 613036, JEF    , JEF   , 12h    ,           43200, 0.216224999999999      , 10.7145614151682 ,  3.43476851851852 , 23.3451009652272, 1.6094379124341  , 19.1798563383334,   0.03018462904012 ,   0.209999999999999               ,        0.05888, Financials            , 2025-09    , 2025-09-30T00:37:21Z
 613036, JEF    , JEF   , 6h     ,           21600, 0.207024999999999      , 10.7145614151682 ,  3.43476851851852 , 23.3451009652272, 1.6094379124341  , 19.1798563383334,   0.03018462904012 ,   0.209999999999999               ,        0.05888, Financials            , 2025-09    , 2025-09-30T00:37:21Z
 614619, CCL    , CCL   , 3d     ,          259200, 0.048399999999999      ,  9.4012411792805 ,  3.1330787037037  , 24.4060704967609, 3.3322045101752  , 21.7715342431998,   0.031626245573149,   0.109999999999999               ,        0.03075, Consumer Discretionary, 2025-09    , 2025-09-29T22:45:27Z
 614619, CCL    , CCL   , 2d     ,          172800, 0.044099999999999      ,  9.4012411792805 ,  3.1330787037037  , 24.4060704967609, 3.3322045101752  , 21.7715342431998,   0.031626245573149,   0.109999999999999               ,        0.03075, Consumer Discretionary, 2025-09    , 2025-09-29T22:45:27Z
 614619, CCL    , CCL   , 1d     ,           86400, 0.0196                 ,  9.4012411792805 ,  3.1330787037037  , 24.4060704967609, 3.3322045101752  , 21.7715342431998,   0.031626245573149,   0.109999999999999               ,        0.03075, Consumer Discretionary, 2025-09    , 2025-09-29T22:45:27Z
 614619, CCL    , CCL   , 12h    ,           43200, 0.009999999999999      ,  9.4012411792805 ,  3.1330787037037  , 24.4060704967609, 3.3322045101752  , 21.7715342431998,   0.031626245573149,   0.109999999999999               ,        0.03075, Consumer Discretionary, 2025-09    , 2025-09-29T22:45:27Z
