market_id,slug,run_id,generated_utc,bucket,snapshot_target_ts,snapshot_target_utc,snapshot_source_ts_yes,snapshot_source_utc_yes,yes_price_decimal,yes_price_pct
627672,amp-quarterly-earnings-nongaap-eps-10-30-2025-9pt68,20260120T104358Z,2026-01-20 10:45:57Z,6d,1761307215,2025-10-24 12:00:15Z,1761307215,2025-10-24 12:00:15Z,0.555,55.5
627672,amp-quarterly-earnings-nongaap-eps-10-30-2025-9pt68,20260120T104358Z,2026-01-20 10:45:57Z,5d,1761393615,2025-10-25 12:00:15Z,1761393615,2025-10-25 12:00:15Z,0.555,55.5
627672,amp-quarterly-earnings-nongaap-eps-10-30-2025-9pt68,20260120T104358Z,2026-01-20 10:45:57Z,4d,1761480015,2025-10-26 12:00:15Z,1761436813,2025-10-26 00:00:13Z,0.585,58.5
627672,amp-quarterly-earnings-nongaap-eps-10-30-2025-9pt68,20260120T104358Z,2026-01-20 10:45:57Z,3d,1761566415,2025-10-27 12:00:15Z,1761566415,2025-10-27 12:00:15Z,0.475,47.5
627672,amp-quarterly-earnings-nongaap-eps-10-30-2025-9pt68,20260120T104358Z,2026-01-20 10:45:57Z,2d,1761652815,2025-10-28 12:00:15Z,1761652813,2025-10-28 12:00:13Z,0.475,47.5
627672,amp-quarterly-earnings-nongaap-eps-10-30-2025-9pt68,20260120T104358Z,2026-01-20 10:45:57Z,1d,1761739215,2025-10-29 12:00:15Z,1761696014,2025-10-29 00:00:14Z,0.575,57.5
627672,amp-quarterly-earnings-nongaap-eps-10-30-2025-9pt68,20260120T104358Z,2026-01-20 10:45:57Z,12h,1761782415,2025-10-30 00:00:15Z,1761782414,2025-10-30 00:00:14Z,0.58,58.0
627672,amp-quarterly-earnings-nongaap-eps-10-30-2025-9pt68,20260120T104358Z,2026-01-20 10:45:57Z,6h,1761804015,2025-10-30 06:00:15Z,1761782414,2025-10-30 00:00:14Z,0.58,58.0
627736,ibm-quarterly-earnings-nongaap-eps-10-22-2025-2pt44,20260120T104358Z,2026-01-20 10:45:08Z,2w,1759967114,2025-10-08 23:45:14Z,1759967103,2025-10-08 23:45:03Z,0.505,50.5
627736,ibm-quarterly-earnings-nongaap-eps-10-22-2025-2pt44,20260120T104358Z,2026-01-20 10:45:08Z,1w,1760571914,2025-10-15 23:45:14Z,1760571607,2025-10-15 23:40:07Z,0.805,80.5
