gics_industry,count,pct
Capital Markets,45,11.450381679389313
Software,30,7.633587786259542
"Hotels, Restaurants & Leisure",28,7.124681933842239
Specialty Retail,28,7.124681933842239
Banks,20,5.089058524173027
Semiconductors & Semiconductor Equipment,15,3.816793893129771
Interactive Media & Services,13,3.307888040712468
Entertainment,11,2.7989821882951653
Consumer Staples Distribution & Retail,11,2.7989821882951653
"Oil, Gas & Consumable Fuels",10,2.5445292620865136
Food Products,10,2.5445292620865136
IT Services,9,2.2900763358778624
Financial Services,8,2.035623409669211
"Textiles, Apparel & Luxury Goods",8,2.035623409669211
Household Durables,8,2.035623409669211
Media,8,2.035623409669211
Beverages,7,1.7811704834605597
Health Care Providers & Services,7,1.7811704834605597
Aerospace & Defense,7,1.7811704834605597
Professional Services,7,1.7811704834605597
Health Care Equipment & Supplies,7,1.7811704834605597
Ground Transportation,6,1.5267175572519083
"Technology Hardware, Storage & Peripherals",6,1.5267175572519083
Passenger Airlines,5,1.2722646310432568
Automobiles,5,1.2722646310432568
Broadline Retail,5,1.2722646310432568
Real Estate Management & Development,4,1.0178117048346056
Consumer Finance,4,1.0178117048346056
Diversified Consumer Services,4,1.0178117048346056
Household Products,4,1.0178117048346056
Insurance,4,1.0178117048346056
Pharmaceuticals,4,1.0178117048346056
Leisure Products,4,1.0178117048346056
Industrial Conglomerates,3,0.7633587786259541
Chemicals,3,0.7633587786259541
Machinery,3,0.7633587786259541
Commercial Services & Supplies,3,0.7633587786259541
Biotechnology,3,0.7633587786259541
Construction & Engineering,2,0.5089058524173028
Health Care Technology,2,0.5089058524173028
Diversified Telecommunication Services,2,0.5089058524173028
Air Freight & Logistics,2,0.5089058524173028
Electric Utilities,2,0.5089058524173028
Automobile Components,2,0.5089058524173028
"Electronic Equipment, Instruments & Components",2,0.5089058524173028
Communications Equipment,1,0.2544529262086514
Wireless Telecommunication Services,1,0.2544529262086514
Electrical Equipment,1,0.2544529262086514
Tobacco,1,0.2544529262086514
Gas Utilities,1,0.2544529262086514
Energy Equipment & Services,1,0.2544529262086514
Building Products,1,0.2544529262086514
Trading Companies & Distributors,1,0.2544529262086514
Life Sciences Tools & Services,1,0.2544529262086514
Personal Care Products,1,0.2544529262086514
Multi-Utilities,1,0.2544529262086514
Metals & Mining,1,0.2544529262086514
