snapshot,n,mean,std,min,p25,median,p75,p90,p95,p99,max,variable,p01,p05,p10
1d,446,0.21844170403587446,0.12466196976746044,0.0004999999999999449,0.12,0.19749999999999995,0.30000000000000004,0.41500000000000004,0.44375,0.495,0.585,distance_to_1_from_max_outcome__1d,0.003224999999999978,0.05625000000000005,0.07499999999999996
12h,446,0.20226457399103137,0.1321945177284541,0.0004999999999999449,0.09499999999999997,0.18250000000000005,0.29000000000000004,0.4025,0.45375,0.48275000000000007,0.585,distance_to_1_from_max_outcome__12h,0.0004999999999999449,0.0067499999999999505,0.04525000000000001
6h,447,0.18015436241610738,0.14253629345854252,0.0004999999999999449,0.06474999999999997,0.15000000000000002,0.28500000000000003,0.4,0.45499999999999996,0.4827000000000001,0.495,distance_to_1_from_max_outcome__6h,0.0004999999999999449,0.0024999999999999467,0.0050000000000000044
