hq_country,count,pct
United States of America,367,93.38422391857506
Switzerland,4,1.0178117048346056
Canada,4,1.0178117048346056
Israel,3,0.7633587786259541
United Kingdom,2,0.5089058524173028
Cayman Islands,2,0.5089058524173028
Bermuda,2,0.5089058524173028
Ireland,1,0.2544529262086514
Finland,1,0.2544529262086514
Belgium,1,0.2544529262086514
Cyprus,1,0.2544529262086514
Jersey,1,0.2544529262086514
Singapore,1,0.2544529262086514
Sweden,1,0.2544529262086514
Taiwan,1,0.2544529262086514
China,1,0.2544529262086514
