gics_sector,count,pct
Consumer Discretionary,92,23.40966921119593
Financials,81,20.610687022900763
Information Technology,63,16.030534351145036
Industrials,41,10.432569974554708
Communication Services,35,8.9058524173028
Consumer Staples,34,8.651399491094146
Health Care,24,6.106870229007633
Energy,11,2.7989821882951653
Utilities,4,1.0178117048346056
Real Estate,4,1.0178117048346056
Materials,4,1.0178117048346056
