snapshot_label,variable,n,min,p25,mean,median,p75,max
1d,abs_complement_error,443,0,0,8.927765237020304e-4,0,0,0.04349999999999987
1d,active_trading_hours,443,35.51547921862867,151.36257943358686,242.7366270082721,189.90990591307482,321.3098498901394,1326.8481283333567
1d,analysts_covering_latest,443,1,12,21.600451467268623,21,28,69
1d,analysts_covering_sample_mean,443,1,11,21.386004514672685,21,28,69
1d,analysts_covering_sample_median,443,1,11,21.386004514672685,21,28,69
1d,complement_error,443,0,0,8.927765237020308e-4,0,0,0.04349999999999987
1d,complement_tolerance,443,0.05,0.05,0.05,0.05,0.05,0.05
1d,eps_estimate_diff,441,-2.12625,-0.010790000000000077,0.01388868480725623,-0.0012500000000000011,0.0055200000000006355,6.25338
1d,liquidity_num,2,0,0,0,0,0,0
1d,market_cap_usd,443,31298401.8048,4996688628.665,161999354728.5817,24382152143.93,100465837563.95001,4644459000000
1d,observed_end_ts,443,1749167106,1761662125.5,1763200428.1489842,1762407905,1764115220.5,1770044125
1d,outcome_yes,443,0,1,0.7584650112866818,1,1,1
1d,price_no,443,5e-4,0.12,0.27304740406320543,0.2,0.365,0.9995
1d,price_yes,443,5e-4,0.635,0.7266625282167043,0.8,0.88,0.9995
1d,snapshot_offset_seconds,443,86400,86400,86400,86400,86400,86400
1d,src_no_ts,443,1749080706,1761575259.5,1763110644.8735893,1762321205,1764028815,1769957722
1d,src_yes_ts,443,1749080706,1761574958,1763110260.5349886,1762321206,1764028808.5,1769957712
1d,target_ts,443,1749080706,1761575725.5,1763114028.1489842,1762321505,1764028820.5,1769957725
1d,val_surprise,443,-6.363,0.01999999999999999,1.6773054853273146,0.07000000000000006,0.18999999999999972,690.8643300000003
1d,volume_num,443,1336.252219,9465.090922,25423.33424896388,15692.515334,25443.9003115,995129.929459
1d,yes_plus_no,443,0.96,1,0.9997099322799097,1,1,1.0435
