snapshot_label,variable,n,min,p25,mean,median,p75,max
5d,active_trading_hours,559,126.62305555555555,174.95972222222224,276.0579228781554,280.4888888888889,337.11375,1182.8875
5d,analysts_covering,559,1,14,22.901610017889087,22,29,71
5d,analysts_covering_asof,559,1,14,22.901610017889087,22,29,71
5d,horizon_seconds,559,432000,432000,432000,432000,432000,432000
5d,id,559,598107,647964,915895.0250447227,675629,1279292.5,1428533
5d,loss_dice,559,0.25,0.25,0.25,0.25,0.25,0.25
5d,loss_hist,559,0,0.043924127792319,0.1957117218864358,0.06016375934496201,0.551233716861901,0.885813148788927
5d,loss_polymarket,559,0.001122249999999,0.0225,0.1611481560822894,0.0625,0.21856249999999902,0.919681
5d,market_cap_usd,559,60648834.62,5864600132.514999,157806638600.03653,24562870000,96814120835.07,4686255000000
5d,market_cap_usd_asof,559,60648834.62,5864600132.514999,157806638600.03653,24562870000,96814120835.07,4686255000000
5d,outcome_yes,559,0,0,0.738819320214669,1,1,1
5d,p_dice,559,0.5,0.5,0.5,0.5,0.5,0.5
5d,p_dice_0p5,559,0.5,0.5,0.5,0.5,0.5,0.5
5d,p_hist,0,,,,,,
5d,p_hist_leakage_safe,559,0.731023102310231,0.75,0.7779461766289636,0.761538461538461,0.795180722891566,1
5d,p_polymarket_yes,559,0.075,0.6575,0.723886404293381,0.775,0.85,0.9665
5d,price_yes,559,0.075,0.6575,0.723886404293381,0.775,0.85,0.9665
5d,seconds_before_close,0,,,,,,
5d,seconds_before_event,559,432002,432274,437203.28980322,432286,432294,476960
5d,snapshot_offset_seconds,559,432000,432000,432000,432000,432000,432000
5d,turnover_6m_avg_daily_volume,558,319.7345132743363,77564.95265997024,3107650.0267935605,618282.1299212598,2920312.500589038,85155289.25
5d,turnover_6m_sum_volume,558,36130,9838239,391724803.3261649,78166582.5,370039651.25,10899877024
5d,val_eikon_eps_stddev_estimate,555,0,0.02044,0.12150670270270271,0.04459,0.08832000000000001,12.40225
5d,val_surprise,556,-6.3629999999999995,0.01,0.10650719424460411,0.0599999999999995,0.169999999999999,4.450000000000001
5d,volatility_6m,558,0.009027083607946,0.01548764317955075,0.024584945547291282,0.020511137068007,0.030167247180120003,0.15173449538734302
5d,volume_num,555,1336.252219,8121.320113,28569.2188030018,13946.73835,25068.530499,995129.929459
