snapshot_label,variable,n,min,p25,mean,median,p75,max
6h,abs_complement_error,447,0,0,6.263982102908276e-4,0,0,0.03500000000000014
6h,active_trading_hours,447,9.330534444451333,151.36257943358686,244.8711233034181,190.73173781361845,328.523187356525,1326.8481283333567
6h,analysts_covering_latest,447,1,12,21.55704697986577,21,28,69
6h,analysts_covering_sample_mean,447,1,11,21.353467561521253,21,27.75,69
6h,analysts_covering_sample_median,447,1,11,21.353467561521253,21,27.75,69
6h,complement_error,447,0,0,6.263982102908281e-4,0,0,0.03500000000000014
6h,complement_tolerance,447,0.05,0.05,0.05,0.05,0.05,0.05
6h,eps_estimate_diff,445,-2.12625,-0.010790000000000077,0.013551910112359546,-0.0010000000000000009,0.0055200000000006355,6.25338
6h,liquidity_num,2,0,0,0,0,0,0
6h,market_cap_usd,447,31298401.8048,4880937303.225,160660764956.20978,24237066274.56,98666147927.38,4644459000000
6h,observed_end_ts,447,1749167106,1761661671,1763205293.3847876,1762407905,1764115221,1770044125
6h,outcome_yes,447,0,1,0.756152125279642,1,1,1
6h,price_no,447,5e-4,0.0835,0.2763109619686801,0.165,0.4,0.9995
6h,price_yes,447,5e-4,0.6,0.7238657718120806,0.835,0.9165,0.9995
6h,snapshot_offset_seconds,447,21600,21600,21600,21600,21600,21600
6h,src_no_ts,447,1749145506,1761640063.5,1763179949.422819,1762386305,1764072037,1770022518
6h,src_yes_ts,447,1749145506,1761639763.5,1763179952.344519,1762386305,1764072035,1770022511
6h,target_ts,447,1749145506,1761640071,1763183693.3847876,1762386305,1764093621,1770022525
6h,val_surprise,447,-6.363,0.019999999999999976,1.6633698657718128,0.07000000000000006,0.18999999999999972,690.8643300000003
6h,volume_num,447,1336.252219,9512.030654999999,25494.046370378077,15692.515334,25794.0378555,995129.929459
6h,yes_plus_no,447,0.98,1,1.0001767337807606,1,1,1.035
