val,n,share
Consumer Discretionary,97,0.23205741626794257
Financials,82,0.19617224880382775
Information Technology,73,0.17464114832535885
Industrials,42,0.10047846889952153
Communication Services,37,0.08851674641148326
Consumer Staples,34,0.08133971291866028
Health Care,26,0.06220095693779904
Energy,12,0.028708133971291867
Materials,4,0.009569377990430622
Real Estate,4,0.009569377990430622
Utilities,4,0.009569377990430622
<NA>,3,0.007177033492822967
