snapshot_label,variable,n,min,p25,mean,median,p75,max
12h,abs_complement_error,440,0,0,0.0010477272727272733,0,0,0.04999999999999993
12h,active_trading_hours,440,35.51547921862867,150.66799615851707,242.684815124893,189.87974809543954,321.2879433624281,1326.8481283333567
12h,analysts_covering_latest,440,1,12,21.602272727272727,21,28,69
12h,analysts_covering_sample_mean,440,1,11,21.4,21,28,69
12h,analysts_covering_sample_median,440,1,11,21.4,21,28,69
12h,complement_error,440,0,0,0.0010477272727272737,0,0,0.04999999999999993
12h,complement_tolerance,440,0.05,0.05,0.05,0.05,0.05,0.05
12h,eps_estimate_diff,438,-2.12625,-0.010774999999999979,0.014189109589041092,-0.001125000000000001,0.0055200000000004135,6.25338
12h,liquidity_num,2,0,0,0,0,0,0
12h,market_cap_usd,440,31298401.8048,5039028536.5725,159490457938.93042,23723669520,94681366708.4775,4644459000000
12h,observed_end_ts,440,1749167106,1761684389,1763242696.9409091,1762438505.5,1764126025.5,1770044125
12h,outcome_yes,440,0,1,0.7522727272727273,1,1,1
12h,price_no,440,5e-4,0.10375000000000001,0.28676931818181817,0.2025,0.39125,0.9995
12h,price_yes,440,5e-4,0.60875,0.7132056818181818,0.7975000000000001,0.89625,0.9995
12h,snapshot_offset_seconds,440,43200,43200,43200,43200,43200,43200
12h,src_no_ts,440,1749123906,1761641180.75,1763196387.4136364,1762395304.5,1764082817.5,1770000919
12h,src_yes_ts,440,1749123906,1761641186,1763196137.75,1762395157,1764082810.5,1770000912
12h,target_ts,440,1749123906,1761641189,1763199496.9409091,1762395305.5,1764082825.5,1770000925
12h,val_surprise,440,-6.363,0.019999999999999914,1.6843780227272735,0.07000000000000006,0.1824999999999999,690.8643300000003
12h,volume_num,440,1336.252219,9482.763318,25519.270163206817,15670.161474,25705.110091,995129.929459
12h,yes_plus_no,440,0.95,1,0.999975,1,1,1.04
