snapshot_label,variable,n,min,p25,mean,median,p75,max
4w,abs_complement_error,4,0,0,0,0,0,0
4w,active_trading_hours,4,805.6278752777973,831.7055969444414,1038.9389602777858,1011.6399187499946,1218.8732820833393,1326.8481283333567
4w,analysts_covering_latest,4,2,4.25,14.25,13,23,29
4w,analysts_covering_sample_mean,4,2,5,14.25,13.25,22.5,28.5
4w,analysts_covering_sample_median,4,2,5,14.25,13.25,22.5,28.5
4w,complement_error,4,0,0,0,0,0,0
4w,complement_tolerance,4,0.05,0.05,0.05,0.05,0.05,0.05
4w,eps_estimate_diff,4,-0.07450000000000001,-0.06887499999999996,-0.03165999999999991,-0.047069999999999945,-0.009854999999999892,0.04200000000000026
4w,liquidity_num,0,,,,,,
4w,market_cap_usd,4,2001687315.15,2225916307.0875,150382142252.4225,4308140847.27,152464366792.605,590910600000
4w,observed_end_ts,4,1760875219,1761652825,1761933619.5,1762063222.5,1762344017,1762732814
4w,outcome_yes,4,0,0,0.25,0,0.25,1
4w,price_no,4,0.115,0.3025,0.591,0.6325000000000001,0.921,0.984
4w,price_yes,4,0.016,0.07900000000000001,0.40900000000000003,0.3675,0.6975,0.885
4w,snapshot_offset_seconds,4,2419200,2419200,2419200,2419200,2419200,2419200
4w,src_no_ts,4,1758456002,1759233602.75,1759514404.75,1759644004,1759924806,1760313609
4w,src_yes_ts,4,1758456007,1759233607.75,1759514405.75,1759644005,1759924803,1760313606
4w,target_ts,4,1758456019,1759233625,1759514419.5,1759644022.5,1759924817,1760313614
4w,val_surprise,4,-0.39,-0.19500000000000026,0.027499999999999886,-2.220446049250313e-16,0.22249999999999992,0.5
4w,volume_num,4,3403.321485,56667.91638075,65898.757732,77654.177444,86885.01879525,104883.354555
4w,yes_plus_no,4,1,1,1,1,1,1
3w,abs_complement_error,17,0,0,0.0026470588235294203,0,0,0.03500000000000014
3w,active_trading_hours,17,530.6953350000249,555.4835508128007,680.3075678514772,578.3889165797499,629.1598905555408,1326.8481283333567
3w,analysts_covering_latest,17,2,15,23.470588235294116,21,29,54
3w,analysts_covering_sample_mean,17,2,16,23.176470588235293,20.5,28.5,53
3w,analysts_covering_sample_median,17,2,16,23.176470588235293,20.5,28.5,53
3w,complement_error,17,0,0,0.0026470588235294207,0,0,0.03500000000000014
3w,complement_tolerance,17,0.05,0.05,0.05,0.05,0.05,0.05
3w,eps_estimate_diff,17,-0.29925999999999986,-0.06699999999999995,-0.04770647058823526,-0.027139999999999942,0.0013300000000000534,0.04200000000000026
3w,liquidity_num,0,,,,,,
3w,market_cap_usd,17,2001687315.15,9436567519.24,194547698664.44177,48132447000,91502498077.62,1615084250233.44
3w,observed_end_ts,17,1760875219,1761825615,1763967830,1765972810,1766059218,1766145622
3w,outcome_yes,17,0,0,0.7058823529411765,1,1,1
3w,price_no,17,0.015,0.34,0.4713823529411765,0.39,0.515,0.997
3w,price_yes,17,0.003,0.485,0.5300882352941176,0.6,0.66,0.985
3w,snapshot_offset_seconds,17,1814400,1814400,1814400,1814400,1814400,1814400
3w,src_no_ts,17,1759060805,1759968010,1762133095.7058823,1764115207,1764201623,1764331220
3w,src_yes_ts,17,1759060805,1759968009,1762133095.235294,1764115210,1764201624,1764288024
3w,target_ts,17,1759060819,1760011215,1762153430,1764158410,1764244818,1764331222
3w,val_surprise,17,-0.39,0.01,0.18588235294117644,0.08000000000000007,0.1899999999999995,1
3w,volume_num,17,3403.321485,11569.106326,72314.7593977647,18835.551167,65435.826552,726860.842831
3w,yes_plus_no,17,0.99,1,1.0014705882352941,1,1,1.035
2w,abs_complement_error,89,0,0,0.0031516853932584284,0,0,0.04500000000000004
2w,active_trading_hours,89,337.1043198447095,353.9652469574743,446.98696670422765,386.08525884555445,491.0413405555487,1326.8481283333567
2w,analysts_covering_latest,89,1,14,21.089887640449437,21,27,54
2w,analysts_covering_sample_mean,89,1,14,21.10674157303371,21.5,26.5,53
2w,analysts_covering_sample_median,89,1,14,21.10674157303371,21.5,26.5,53
2w,complement_error,89,0,0,0.0031516853932584293,0,0,0.04500000000000004
2w,complement_tolerance,89,0.05,0.05,0.05,0.05,0.05,0.05
2w,eps_estimate_diff,88,-0.5279999999999987,-0.020027499999999983,-0.009549204545454576,-0.0010699999999999044,0.00770000000000004,0.2469999999999999
2w,liquidity_num,0,,,,,,
2w,market_cap_usd,89,314692823.28,7380069545.75,118165034533.52092,27033672118.52,136853143000,1615084250233.44
2w,observed_end_ts,89,1760184026,1761177613,1764285155.539326,1764115217,1766059219,1769558420
2w,outcome_yes,89,0,1,0.7752808988764045,1,1,1
2w,price_no,89,0.075,0.17,0.30885955056179776,0.265,0.415,0.9945
2w,price_yes,89,0.0055,0.585,0.690808988764045,0.735,0.83,0.93
2w,snapshot_offset_seconds,89,1209600,1209600,1209600,1209600,1209600,1209600
2w,src_no_ts,89,1758974409,1759967105,1763065828.3033707,1762862449,1764806416,1768348816
2w,src_yes_ts,89,1758974411,1759968009,1763066306.8876405,1762862447,1764849607,1768348814
2w,target_ts,89,1758974426,1759968013,1763075555.539326,1762905617,1764849619,1768348820
2w,val_surprise,89,-1.5399999999999991,0.01999999999999996,0.11213483146067414,0.07000000000000006,0.13,1.7799999999999994
2w,volume_num,89,3108.927988,12817.999296,34529.00054667416,18743.410468,33631.226414,726860.842831
2w,yes_plus_no,89,0.955,1,0.9996685393258427,1,1,1.04
1w,abs_complement_error,273,0,0,0.001307692307692308,0,0,0.04500000000000004
1w,active_trading_hours,273,168.85274803585477,209.07960056861242,310.83041870473846,305.4506578383181,359.0566475472185,1326.8481283333567
1w,analysts_covering_latest,273,1,14,22.23076923076923,21,28,69
1w,analysts_covering_sample_mean,273,1,13,22.003663003663004,21.5,27,69
1w,analysts_covering_sample_median,273,1,13,22.003663003663004,21.5,27,69
1w,complement_error,273,0,0,0.0013076923076923085,0,0,0.04500000000000004
1w,complement_tolerance,273,0.05,0.05,0.05,0.05,0.05,0.05
1w,eps_estimate_diff,272,-0.9526500000000001,-0.013479999999999971,0.021163602941176467,-0.001125000000000001,0.0052749999999999325,6.25338
1w,liquidity_num,0,,,,,,
1w,market_cap_usd,273,208418641.8,6353752828.15,165310004774.80386,26896069510.24,123348090000,4644459000000
1w,observed_end_ts,273,1758715212,1761660918,1763691634.7728937,1762956014,1765281609,1770041117
1w,outcome_yes,273,0,1,0.7545787545787546,1,1,1
1w,price_no,273,0.036,0.14,0.2714871794871795,0.211,0.36,0.995
1w,price_yes,273,0.005,0.64,0.7285750915750916,0.789,0.86,0.964
1w,snapshot_offset_seconds,273,604800,604800,604800,604800,604800,604800
1w,src_no_ts,273,1758067220,1761048015,1763081387.6410255,1762351214,1764633609,1769436312
1w,src_yes_ts,273,1758110408,1761048014,1763082181.3772893,1762351209,1764633609,1769436315
1w,target_ts,273,1758110412,1761056118,1763086834.7728937,1762351214,1764676809,1769436317
1w,val_surprise,273,-6.363,0.01999999999999979,0.14154945054945053,0.07000000000000006,0.18999999999999995,3.890000000000001
1w,volume_num,273,2639.245405,11372.216792,29920.361522684983,17905.010287,28083.551227,995129.929459
1w,yes_plus_no,273,0.955,1,1.000062271062271,1,1,1.04
6d,abs_complement_error,359,0,0,8.969359331476312e-4,0,0,0.04499999999999993
6d,active_trading_hours,359,144.65997795085113,169.31362715807228,275.84938012751235,239.57183246804607,339.98297194182874,1326.8481283333567
6d,analysts_covering_latest,359,1,12,21.924791086350975,21,28,69
6d,analysts_covering_sample_mean,359,1,13,21.750696378830085,21,27.75,69
6d,analysts_covering_sample_median,359,1,13,21.750696378830085,21,27.75,69
6d,complement_error,359,0,0,8.969359331476316e-4,0,0,0.04499999999999993
6d,complement_tolerance,359,0.05,0.05,0.05,0.05,0.05,0.05
6d,eps_estimate_diff,358,-2.12625,-0.012692499999999926,0.013410949720670385,-0.0012799999999999478,0.005100000000000077,6.25338
6d,liquidity_num,0,,,,,,
6d,market_cap_usd,359,32113189.72,6303078344.49,171273783692.7888,27033672118.52,121103364456.01999,4644459000000
6d,observed_end_ts,359,1758715212,1761633310,1763415447.8523676,1762450807,1764793810.5,1770041117
6d,outcome_yes,359,0,1,0.7632311977715878,1,1,1
6d,price_no,359,0.0355,0.1625,0.2955724233983287,0.24,0.4025,0.9995
6d,price_yes,359,5e-4,0.5974999999999999,0.7046476323119777,0.76,0.8425,0.9645
6d,snapshot_offset_seconds,359,518400,518400,518400,518400,518400,518400
6d,src_no_ts,359,1758196812,1761114908.5,1762895178.6128135,1761932407,1764275258,1769522713
6d,src_yes_ts,359,1758196810,1761114762.5,1762894452.8495822,1761932407,1764275125,1769522716
6d,target_ts,359,1758196812,1761114910,1762897047.8523676,1761932407,1764275410.5,1769522717
6d,val_surprise,359,-6.363,0.02,0.13970473537604455,0.07000000000000006,0.18999999999999995,3.890000000000001
6d,volume_num,359,1336.252219,10284.0376175,27642.17984306128,17045.936433,27637.2458605,995129.929459
6d,yes_plus_no,359,0.965,1,1.0002200557103065,1,1,1.045
5d,abs_complement_error,404,0,0,7.128712871287123e-4,0,0,0.03000000000000002
5d,active_trading_hours,404,120.63723166055149,161.79616356001958,259.4126244496035,210.17773865375256,334.1192302265101,1326.8481283333567
5d,analysts_covering_latest,404,1,12,22.047029702970296,21,28,69
