analyst_coverage_bin,n_firms,pct_of_firms
0-9,84,21.761658031088082
10-19,100,25.906735751295333
20-29,130,33.67875647668394
30-39,45,11.658031088082902
40-49,16,4.145077720207254
50-59,6,1.5544041450777202
60-69,4,1.0362694300518136
70-79,1,0.2590673575129534
