main_exchange_abbrev,count,pct
NYSE,219,56.73575129533679
NASDAQ-GS,147,38.082901554404145
NASDAQ,10,2.5906735751295336
NASDAQ-CM,9,2.33160621761658
BSE,1,0.2590673575129534
