snapshot_label,variable,n,min,p25,mean,median,p75,max
3d,abs_complement_error,433,0,0,0.0010288683602771357,0,0,0.04499999999999993
3d,active_trading_hours,433,73.2615798047516,155.21228921280968,247.21415807615634,191.60362874779437,326.8675043874979,1326.8481283333567
3d,analysts_covering_latest,433,1,12,21.48267898383372,21,28,69
3d,analysts_covering_sample_mean,433,1,11,21.304849884526558,21,27.5,69
3d,analysts_covering_sample_median,433,1,11,21.304849884526558,21,27.5,69
3d,complement_error,433,0,0,0.001028868360277136,0,0,0.04499999999999993
3d,complement_tolerance,433,0.05,0.05,0.05,0.05,0.05,0.05
3d,eps_estimate_diff,432,-2.12625,-0.011149999999999993,0.01395706018518518,-0.0012799999999999478,0.005135000000000056,6.25338
3d,liquidity_num,2,0,0,0,0,0,0
3d,market_cap_usd,433,31298401.8048,5322979842.18,153543522841.87317,23723669520,94931140487.31,4644459000000
3d,observed_end_ts,433,1758227705,1761662718,1763243805.0577366,1762407905,1764115217,1770044125
3d,outcome_yes,433,0,1,0.7551963048498845,1,1,1
3d,price_no,433,0.025,0.13,0.2737078521939954,0.21,0.355,0.9995
3d,price_yes,433,5e-4,0.645,0.7260230946882217,0.79,0.87,0.975
3d,snapshot_offset_seconds,433,259200,259200,259200,259200,259200,259200
3d,src_no_ts,433,1757968205,1761403207,1762981652.1200924,1762148705,1763856016,1769784619
3d,src_yes_ts,433,1757968207,1761403511,1762981540.5704389,1762148705,1763856017,1769784914
3d,target_ts,433,1757968505,1761403518,1762984605.0577366,1762148705,1763856017,1769784925
3d,val_surprise,433,-6.363,0.01999999999999999,0.11781524249422633,0.07000000000000006,0.1899999999999995,3.890000000000001
3d,volume_num,433,1336.252219,9571.44121,25807.349397628175,15804.302925,25854.250299,995129.929459
3d,yes_plus_no,433,0.955,1,0.9997309468822171,1,1,1.025
