snapshot_label,variable,n,min,p25,mean,median,p75,max
4d,abs_complement_error,423,0,0,7.836879432624122e-4,0,0,0.04499999999999993
4d,active_trading_hours,423,96.53345027777884,160.32968128373227,253.1274675161179,207.2178365169631,329.3371924658285,1326.8481283333567
4d,analysts_covering_latest,423,1,12,21.68321513002364,21,28,69
4d,analysts_covering_sample_mean,423,1,11.5,21.495271867612292,21,28,69
4d,analysts_covering_sample_median,423,1,11.5,21.495271867612292,21,28,69
4d,complement_error,423,0,0,7.836879432624124e-4,0,0,0.04499999999999993
4d,complement_tolerance,423,0.05,0.05,0.05,0.05,0.05,0.05
4d,eps_estimate_diff,422,-2.12625,-0.010924999999999963,0.015349976303317529,-0.0012799999999999478,0.005344999999999975,6.25338
4d,liquidity_num,2,0,0,0,0,0,0
4d,market_cap_usd,423,31298401.8048,5354188348.075001,157437851891.12708,24650159051.8,100465837563.95001,4644459000000
4d,observed_end_ts,423,1758260703,1761691060.5,1763301649.1394799,1762435206,1764115221,1770044125
4d,outcome_yes,423,0,1,0.7541371158392435,1,1,1
4d,price_no,423,0.0205,0.13,0.2722565011820331,0.21,0.34,0.9995
4d,price_yes,423,5e-4,0.66,0.727966903073286,0.79,0.8674999999999999,0.9795
4d,snapshot_offset_seconds,423,345600,345600,345600,345600,345600,345600
4d,src_no_ts,423,1757914804,1761345311.5,1762953642.3971632,1762089606,1763769620.5,1769698520
4d,src_yes_ts,423,1757914808,1761345460,1762953432.9408984,1762089604,1763769620,1769698512
4d,target_ts,423,1757915103,1761345460.5,1762956049.1394799,1762089606,1763769621,1769698525
4d,val_surprise,423,-6.363,0.01999999999999996,0.11646335697399528,0.06999999999999999,0.17999999999999988,3.890000000000001
4d,volume_num,423,1336.252219,9685.1197665,26124.285046352245,16135.064381,25830.294538000002,995129.929459
4d,yes_plus_no,423,0.965,1,1.000223404255319,1,1,1.045
