variable,n,mean,std,min,p01,p05,p10,p25,median,p75,p90,p95,p99,max
volumeNum,424,25109.47621263915,61942.84694100996,1336.252219,2960.81530072,4078.8129225,5135.2577909,9373.75660775,15082.034843000001,25044.3574855,44698.6882936,63295.60095014999,138681.59014805983,995129.929459
observed_span_hours,424,242.53121985613208,140.42615381053082,9.000278,57.4175,92.91359765,121.2505001,151.18749975,191.2501385,324.00124999999997,395.8509999,480.00368065000004,621.2425189999998,1308.003333
diff_eikon_mean_minus_poly_est,387,-0.022221937984496124,0.3675722187495861,-6.25338,-0.6525846000000006,-0.10275000000000009,-0.02270600000000007,-0.005520000000000191,0.0009100000000000774,0.01022500000000004,0.045923999999999944,0.08904999999999993,0.37923639999999903,0.9526500000000001
diff_eikon_actual_minus_poly_est,388,0.11044329896907218,0.612801981144411,-6.363,-1.3075599999999998,-0.20999999999999966,-0.07999999999999997,0.02,0.07000000000000017,0.17249999999999996,0.4099999999999999,0.6464999999999999,1.8631999999999964,3.8900000000000006
surprise,389,1.8861602313624686,35.02795927753227,-6.363,-1.30544,-0.2099999999999996,-0.07999999999999997,0.02,0.07000000000000028,0.17999999999999972,0.41399999999999965,0.6919999999999975,2.4320000000000004,690.8643300000003
