snapshot_label,variable,n,min,p25,mean,median,p75,max
6d,active_trading_hours,507,148.04083333333332,192.68902777777777,289.49025750602675,299.1936111111111,340.2631944444444,1182.8875
6d,analysts_covering,507,1,14,22.875739644970412,22,29,69
6d,analysts_covering_asof,507,1,14,22.875739644970412,22,29,69
6d,horizon_seconds,507,518400,518400,518400,518400,518400,518400
6d,id,507,598107,652539,933491.0946745562,697472,1284048.5,1428533
6d,loss_dice,507,0.25,0.25,0.25,0.25,0.25,0.25
6d,loss_hist,507,0,0.047761063111267,0.19436958015693806,0.060680592702161,0.549574888344452,0.891975308641975
6d,loss_polymarket,507,0.001225,0.027225,0.16774566124260323,0.07022500000000001,0.245025,0.91107025
6d,market_cap_usd,507,60648834.62,6026032667.690001,152714588619.85995,24890759526.6,96814120835.07,4686255000000
6d,market_cap_usd_asof,507,60648834.62,6026032667.690001,152714588619.85995,24890759526.6,96814120835.07,4686255000000
6d,outcome_yes,507,0,0,0.7396449704142012,1,1,1
6d,p_dice,507,0.5,0.5,0.5,0.5,0.5,0.5
6d,p_dice_0p5,507,0.5,0.5,0.5,0.5,0.5,0.5
6d,p_hist,0,,,,,,
6d,p_hist_leakage_safe,507,0.731023102310231,0.75,0.775961755020636,0.76,0.788819875776397,1
6d,p_polymarket_yes,507,0.0995,0.6275,0.7143165680473373,0.765,0.845,0.965
6d,price_yes,507,0.0995,0.6275,0.7143165680473373,0.765,0.845,0.965
6d,seconds_before_close,0,,,,,,
6d,seconds_before_event,507,518400,518674,524173.7455621302,518686,518695,594259
6d,snapshot_offset_seconds,507,518400,518400,518400,518400,518400,518400
6d,turnover_6m_avg_daily_volume,506,319.7345132743363,79519.60672982283,3081687.2000246225,642761.9408218504,2996956.9345238092,85155289.25
6d,turnover_6m_sum_volume,506,36130,10080710,388333778.2826087,80334753,377616573.75,10899877024
6d,val_eikon_eps_stddev_estimate,503,0,0.02,0.12072520874751491,0.04327,0.0874,12.40225
6d,val_surprise,504,-6.3629999999999995,0.01,0.11696031746031725,0.06,0.17249999999999976,4.450000000000001
6d,volatility_6m,506,0.009027083607946,0.01548764317955075,0.024467115743149297,0.020183924859605,0.03017983772933775,0.15173449538734302
6d,volume_num,503,1336.252219,8338.449473,29791.524296107356,14144.458263,25641.060819,995129.929459
