snapshot_label,variable,n,min,p25,mean,median,p75,max
4d,active_trading_hours,515,96.55166666666666,164.46027777777778,261.22950916936355,237.52555555555554,334.45472222222224,1326.8538888888888
4d,analysts_covering,514,1,13.25,22.30933852140078,22,28,71
4d,analysts_covering_asof,514,1,13.25,22.30933852140078,22,28,71
4d,horizon_seconds,515,345600,345600,345600,345600,345600,345600
4d,id,515,598106,643053.5,819579.6504854369,658909,1118302.5,1339362
4d,loss_dice,515,0.25,0.25,0.25,0.25,0.25,0.25
4d,loss_hist,515,0,0.051857661013626,0.19578475807946533,0.06050013007284,0.5440200736358786,0.885813148788927
4d,loss_polymarket,515,2.5e-7,0.021025,0.16059285242718407,0.055224999999999,0.2003125,0.90916225
4d,market_cap_usd,514,38579430.85,5993320070.865,153919377304.63812,25255749426.71,101551889694.15425,4534380000000
4d,market_cap_usd_asof,514,38579430.85,5993320070.865,153919377304.63812,25255749426.71,101551889694.15425,4534380000000
4d,outcome_yes,515,0,0,0.7378640776699029,1,1,1
4d,p_dice,515,0.5,0.5,0.5,0.5,0.5,0.5
4d,p_dice_0p5,515,0.5,0.5,0.5,0.5,0.5,0.5
4d,p_hist,515,0.733552631578947,0.7507763975155275,0.773533457477619,0.7587719298245611,0.7894736842105261,1
4d,p_hist_asof_end_minus_1d,515,0.733552631578947,0.7507763975155275,0.773533457477619,0.7587719298245611,0.7894736842105261,1
4d,p_polymarket_yes,515,5e-4,0.6625000000000001,0.7281650485436894,0.79,0.865,0.9795
4d,price_yes,515,5e-4,0.6625000000000001,0.7281650485436894,0.79,0.865,0.9795
4d,seconds_before_close,515,345526,345721,351173.3184466019,345838,346078,431835
4d,snapshot_offset_seconds,515,345600,345600,345600,345600,345600,345600
4d,turnover_6m_avg_daily_volume,513,319.7345132743363,79794.912,3322114.60415167,625362.5546875,3101796.9765625,85155289.25
4d,turnover_6m_sum_volume,513,36130,10125665,419392922.5282651,78741952,395001565,10899877024
4d,val_eikon_eps_stddev_estimate,513,0,0.02097,0.1205403118908382,0.04573000000000001,0.08996000000000001,12.40225
4d,val_surprise,514,-6.3629999999999995,0.01,0.10240466926070019,0.0599999999999995,0.169999999999999,4.450000000000001
4d,volatility_6m,513,0.009027083607946,0.015000503934424,0.024572175903221083,0.019564114068569,0.029545913041619,0.15173449538734302
4d,volume_num,515,1336.252219,8609.462718499999,24733.287215165048,14904.189142,25080.4033025,995129.929459
