snapshot,n_both,n_violations,violation_rate_pct
4w,4,0,0.0
3w,19,2,10.526315789473683
2w,81,8,9.876543209876543
1w,248,3,1.2096774193548387
6d,327,2,0.6116207951070336
5d,370,4,1.0810810810810811
4d,385,2,0.5194805194805194
3d,398,5,1.256281407035176
2d,407,5,1.2285012285012284
1d,408,5,1.2254901960784315
12h,408,8,1.9607843137254901
6h,409,2,0.4889975550122249
