tag,count,pct_of_all_non_earnings_tags
finance,342,39.62920046349942
hide-from-new,326,37.77520278099652
economy,141,16.33835457705678
equities,24,2.7809965237543453
tech,13,1.5063731170336037
big-tech,13,1.5063731170336037
tesla,1,0.11587485515643105
stocks,1,0.11587485515643105
warner-bros,1,0.11587485515643105
climate-science,1,0.11587485515643105
