val,n,share
Consumer Discretionary,92,0.2340966921119593
Financials,81,0.20610687022900764
Information Technology,63,0.16030534351145037
Industrials,41,0.10432569974554708
Communication Services,35,0.089058524173028
Consumer Staples,34,0.08651399491094147
Health Care,24,0.061068702290076333
Energy,11,0.027989821882951654
Materials,4,0.010178117048346057
Real Estate,4,0.010178117048346057
Utilities,4,0.010178117048346057
