"market_id","n_snapshots","loss_mean","loss_target","volumeNum","volume_per_analyst","val_eikon_eps_stddev_estimate","val_surprise","market_cap_usd_asof","analysts_covering_asof","turnover_6m_avg_daily_volume","volatility_6m","open_time_days","log_volume","log_volume_per_analyst","eps_stddev","surprise","log_market_cap","analysts","log_turnover","log_volatility_6m","firm_id","firm_market_number","prior_markets_for_firm","post_first_market"
"1069148",9,0.70874775,0.19053225,141618.557105,5245.13174462963,0.08996,0.29,887562078000,27,8417730.38095238,0.012497803489729,13.7210648148148,11.1080839101247,8.56524627346063,0.08996,0.29,26.8640512231621,27,15.9458509177242,0.0124203506033438,"JPM",2,1,1
"1069149",9,0.00776944444444444,0.00360000000000001,41553.592934,2444.32899611765,0.05423,0.09,81927613440,17,3467432.07142857,0.010783560056105,13.7225,10.6347633341023,7.80193495159608,0.05423,0.09,25.1291019314192,17,15.058925129306,0.0116712063567068,"BK",2,1,1
"1069150",9,0.660869444444444,0.6724,34846.39086,1244.51395928571,0.03727,-0.019999999999999,47215737754.08,28,8002830.42857143,0.022661128725539,13.7227777777778,10.4587335456671,7.127303542416,0.03727,-0.019999999999999,24.5779931009567,28,15.8953059655976,0.022408179625568,"DAL",2,1,1
"1099134",9,0.0238777777777778,0.0121,36178.687969,1447.14751876,0.02763,0.01,398055907200.55,25,35828639.1102362,0.012513829224162,10.4166319444444,10.4962531345063,7.27804044535318,0.02763,0.01,26.709858302719,25,16.4433774877375,0.0124361783982803,"BAC",2,1,1
"1099135",9,0.483491666666667,0.015625,56879.688635,2187.68033211538,0.0535,-0.06,293673296000,26,14855600.1653543,0.015669936864813,10.4285763888889,10.9487111712076,7.69105405310622,0.0535,-0.06,26.405733748307,26,16.4433774877375,0.015548431085592,"WFC",2,1,1
"1099148",9,0.289736111111111,0.099225,39081.184395,1699.18193021739,0.10269,0.12,210600610000,23,13825590.6929134,0.01495329546225,10.4461226851852,10.5734220000655,7.43849054209325,0.10269,0.12,26.0732293331283,23,16.4420319032209,0.0148425971121528,"C",2,1,1
"1099149",9,0.0616166666666667,0.0529,40360.273668,1494.82495066667,0.11892,0.26,289309080000,27,5351729.0390625,0.013306198143576,11.4320949074074,10.6056260316505,7.31043314010158,0.11892,0.26,26.3907614345404,27,15.4929304383862,0.0132184482436928,"MS",2,1,1
"1099181",9,0.0106472222222222,0.011025,39226.239714,1452.82369311111,0.58598,2.52,281377932594.65,27,1966480.6015625,0.014898636396454,11.4293402777778,10.5771266751171,7.28195239428402,0.334929,0.62,26.36296455849,27,14.4917565148796,0.0147887418875905,"GS",2,1,1
"1099182",9,0.021425,0.0225,20031.21384,801.2485536,0.06217,0.719999999999999,82804800000,25,1911552.078125,0.012160935363431,12.466400462963,9.90509694876298,6.68741847705908,0.06217,0.62,25.1397518676719,25,14.4634265995202,0.0120875852607781,"PNC",1,0,0
"1099187",9,0.235347222222222,0.046225,25081.28419,1320.06758894737,0.08834,0.3,37597375631.04,19,1956068.109375,0.01354993398667,12.4664467592593,10.129917066756,7.1861954682001,0.08834,0.3,24.3502000878595,19,14.486447460944,0.0134589545533466,"STT",2,1,1
"1099457",9,0.0447027777777778,0.0625,8753.720625,380.596548913043,0.08215,0.169999999999999,31854513600,23,1051247.7421875,0.012939253691554,12.1090162037037,9.07734833387386,5.94436389580432,0.08215,0.169999999999999,24.1844449232098,23,13.8654892937763,0.012856256727654,"MTB",1,0,0
