"model_class","model","term","conf.low_boot","conf.high_boot","n_boot","n_boot_success"
"Fractional logit","Loss at 6h | Full","(Intercept)",-3.50110250511753,2.05442611328952,25000,25000
"Fractional logit","Loss at 6h | Full","log_volume",-0.54630696930878,0.416118312111047,25000,25000
"Fractional logit","Loss at 6h | Full","log_volume_per_analyst",-0.308255200433852,0.541603054110107,25000,25000
"Fractional logit","Loss at 6h | Full","eps_stddev",0.217928621539399,3.54935625804142,25000,25000
"Fractional logit","Loss at 6h | Full","surprise",-3.11588633967777,-1.60442867274579,25000,25000
"Fractional logit","Loss at 6h | Full","log_market_cap",-0.194791803802974,0.0627536101521257,25000,25000
"Fractional logit","Loss at 6h | Full","analysts",-0.0259917561386494,0.0307721579804082,25000,25000
"Fractional logit","Loss at 6h | Full","log_turnover",-0.0189503882366872,0.105244289795526,25000,25000
"Fractional logit","Loss at 6h | Full","log_volatility_6m",-20.1925885192112,10.2783547315027,25000,25000
"Fractional logit","Loss at 6h | Full","open_time_days",-0.0428117325866387,0.0265896013988526,25000,25000
"Fractional logit","Loss at 6h | Full","post_first_market",-0.30845230256115,0.277530266802789,25000,25000
"Fractional probit","Mean loss | Ex-ante","(Intercept)",-0.940224306977195,1.73274469327423,25000,25000
"Fractional probit","Mean loss | Ex-ante","eps_stddev",0.108612318747198,1.52040381444822,25000,25000
"Fractional probit","Mean loss | Ex-ante","log_market_cap",-0.12881604808514,-0.0135213152854903,25000,25000
"Fractional probit","Mean loss | Ex-ante","analysts",-0.00669054320686281,0.00887751919642061,25000,25000
"Fractional probit","Mean loss | Ex-ante","log_turnover",-0.00368979646773862,0.0552469653459291,25000,25000
"Fractional probit","Mean loss | Ex-ante","log_volatility_6m",-10.9315052836406,1.75560642324312,25000,25000
"Fractional probit","Mean loss | Ex-ante","open_time_days",-0.0193601044461381,0.0136095471863926,25000,25000
"Fractional probit","Mean loss | Ex-ante","post_first_market",-0.117955922736046,0.163827392637436,25000,25000
"Fractional probit","Mean loss | Full","(Intercept)",-2.30251323020244,0.444035745270948,25000,25000
"Fractional probit","Mean loss | Full","log_volume",-0.209884804830936,0.252776467800594,25000,25000
"Fractional probit","Mean loss | Full","log_volume_per_analyst",-0.142991463647863,0.269656288943012,25000,25000
"Fractional probit","Mean loss | Full","eps_stddev",0.380323664607796,1.97476228646041,25000,25000
"Fractional probit","Mean loss | Full","surprise",-1.73021113776776,-1.03054418026957,25000,25000
"Fractional probit","Mean loss | Full","log_market_cap",-0.101579218757233,0.0219097152402702,25000,25000
"Fractional probit","Mean loss | Full","analysts",-0.0114292058072584,0.0153448519486428,25000,25000
"Fractional probit","Mean loss | Full","log_turnover",-0.00496925314035189,0.0576776748681658,25000,25000
"Fractional probit","Mean loss | Full","log_volatility_6m",-11.0923288031363,2.63802976041679,25000,25000
"Fractional probit","Mean loss | Full","open_time_days",-0.0237635068546693,0.00883544118461136,25000,25000
"Fractional probit","Mean loss | Full","post_first_market",-0.120896110153659,0.164063931069365,25000,25000
"Fractional probit","Loss at 6h | Ex-ante","(Intercept)",-0.9364829256957,2.00457338427454,25000,25000
"Fractional probit","Loss at 6h | Ex-ante","eps_stddev",0.0127585352745104,1.6484728971453,25000,25000
"Fractional probit","Loss at 6h | Ex-ante","log_market_cap",-0.139400737719454,-0.0120451463765942,25000,25000
"Fractional probit","Loss at 6h | Ex-ante","analysts",-0.00893908382773766,0.00827428667683047,25000,25000
"Fractional probit","Loss at 6h | Ex-ante","log_turnover",-0.00834541991046277,0.0558599628366248,25000,25000
"Fractional probit","Loss at 6h | Ex-ante","log_volatility_6m",-11.6776635361257,3.93625183932109,25000,25000
"Fractional probit","Loss at 6h | Ex-ante","open_time_days",-0.0209339059990773,0.0155421372647902,25000,25000
"Fractional probit","Loss at 6h | Ex-ante","post_first_market",-0.164758026172336,0.148730551388067,25000,25000
"Fractional probit","Loss at 6h | Full","(Intercept)",-2.08825575967701,1.01866283426858,25000,25000
"Fractional probit","Loss at 6h | Full","log_volume",-0.30627957413328,0.219190915915908,25000,25000
"Fractional probit","Loss at 6h | Full","log_volume_per_analyst",-0.162000149907179,0.302111080895975,25000,25000
"Fractional probit","Loss at 6h | Full","eps_stddev",0.293231029760512,2.14318396250877,25000,25000
"Fractional probit","Loss at 6h | Full","surprise",-1.6928477397431,-0.886295909890243,25000,25000
"Fractional probit","Loss at 6h | Full","log_market_cap",-0.103819296339025,0.037420264912314,25000,25000
"Fractional probit","Loss at 6h | Full","analysts",-0.0145701117211754,0.0161174967956823,25000,25000
"Fractional probit","Loss at 6h | Full","log_turnover",-0.00900521556041355,0.0595510903168888,25000,25000
"Fractional probit","Loss at 6h | Full","log_volatility_6m",-10.7401482130974,6.1418127039313,25000,25000
"Fractional probit","Loss at 6h | Full","open_time_days",-0.023969187578329,0.0136056871944686,25000,25000
"Fractional probit","Loss at 6h | Full","post_first_market",-0.165290553424822,0.153703539175571,25000,25000
