"model_class","model","term","estimate","std.error","statistic","p.value","conf.low","conf.high","stars","term_label","outcome_group","spec_group","conf.low_boot","conf.high_boot","n_boot","n_boot_success","conf.low_hc3","conf.high_hc3"
"OLS","Mean loss | Ex-ante","(Intercept)",0.490418073026759,0.16301349164697,3.0084508225174,0.0027237073676067,0.168109839189678,0.806635497716586,"***","Constant","Mean loss across selected horizons","Ex-ante",0.168109839189678,0.806635497716586,25000,25000,0.170342729212778,0.810493416840739
"OLS","Mean loss | Ex-ante","eps_stddev",0.204193949292077,0.0963829163535908,2.11856993974917,0.034492072796312,0.0218611315619713,0.397064661993629,"**","Std. dev. of analyst estimates","Mean loss across selected horizons","Ex-ante",0.0218611315619713,0.397064661993629,25000,25000,0.0149470668531703,0.393440831730983
"OLS","Mean loss | Ex-ante","log_market_cap",-0.0167883949853293,0.00701515173455859,-2.39316206128871,0.0169764938070233,-0.0304313414222764,-0.00306160753105865,"**","log(Market cap)","Mean loss across selected horizons","Ex-ante",-0.0304313414222764,-0.00306160753105865,25000,25000,-0.0305625745373432,-0.00301421543331537
"OLS","Mean loss | Ex-ante","analysts",0.0002775224903417,0.000942513549706238,0.294449337548726,0.768505233497569,-0.00154231599374971,0.00213685837524179,"","Analysts covering","Mean loss across selected horizons","Ex-ante",-0.00154231599374971,0.00213685837524179,25000,25000,-0.00157309334165878,0.00212813832234218
"OLS","Mean loss | Ex-ante","log_turnover",0.00590596787238068,0.00353405769762145,1.67115773926261,0.095154727754164,-0.000996408328717587,0.012849694748954,"*","log(6m avg. daily turnover + 1)","Mean loss across selected horizons","Ex-ante",-0.000996408328717587,0.012849694748954,25000,25000,-0.00103311870993937,0.0128450544547007
"OLS","Mean loss | Ex-ante","log_volatility_6m",-1.02102235694633,0.772007579114033,-1.32255483568965,0.186432044314866,-2.53977456839816,0.488487642764974,"","log(6m stock volatility)","Mean loss across selected horizons","Ex-ante",-2.53977456839816,0.488487642764974,25000,25000,-2.5368514384254,0.494806724532748
"OLS","Mean loss | Ex-ante","open_time_days",-0.000556607716260788,0.00207550024570623,-0.268180029085658,0.788642801916322,-0.00460529605107421,0.00343298093257286,"","Market open-to-resolution (days)","Mean loss across selected horizons","Ex-ante",-0.00460529605107421,0.00343298093257286,25000,25000,-0.00463183147853135,0.00351861604600977
"OLS","Mean loss | Ex-ante","post_first_market",0.00466315193071969,0.0175241933687603,0.266097949993664,0.790245152793855,-0.0289793928584096,0.0392804816038825,"","After first firm market","Mean loss across selected horizons","Ex-ante",-0.0289793928584096,0.0392804816038825,25000,25000,-0.0297454246901401,0.0390717285515795
"OLS","Mean loss | Full","(Intercept)",0.174436215566062,0.168907994183089,1.03272918732894,0.302132021128064,-0.152254917912277,0.497489265868202,"","Constant","Mean loss across selected horizons","Full",-0.152254917912277,0.497489265868202,25000,25000,-0.157262808896558,0.506135240028682
"OLS","Mean loss | Full","log_volume",0.00336881422550009,0.0298657091221317,0.112798735557351,0.910226515154473,-0.0543768287541522,0.0607899939673231,"","log(Polymarket volume + 1)","Mean loss across selected horizons","Full",-0.0543768287541522,0.0607899939673231,25000,25000,-0.0552810242774503,0.0620186527284505
"OLS","Mean loss | Full","log_volume_per_analyst",0.017806097444595,0.0269711217700668,0.660191207336308,0.509375532308106,-0.0330336893838089,0.070404508969965,"","log(Polymarket volume / analysts + 1)","Mean loss across selected horizons","Full",-0.0330336893838089,0.070404508969965,25000,25000,-0.0351593931650223,0.0707715880542122
"OLS","Mean loss | Full","eps_stddev",0.351164316552703,0.103390745464183,3.39647726666556,0.000726102437180076,0.159711338200237,0.55931348230857,"***","Std. dev. of analyst estimates","Mean loss across selected horizons","Full",0.159711338200237,0.55931348230857,25000,25000,0.148127097534172,0.554201535571234
"OLS","Mean loss | Full","surprise",-0.325162237907849,0.0411546875021638,-7.90097696382103,0.0000000000000126053152374786,-0.407184770014467,-0.248400244110307,"***","Earnings surprise","Mean loss across selected horizons","Full",-0.407184770014467,-0.248400244110307,25000,25000,-0.405981205432469,-0.24434327038323
"OLS","Mean loss | Full","log_market_cap",-0.00896377563386815,0.00753650156158601,-1.18938151350715,0.234743399373045,-0.0235262151285052,0.00534162585977887,"","log(Market cap)","Mean loss across selected horizons","Full",-0.0235262151285052,0.00534162585977887,25000,25000,-0.0237638460978473,0.00583629483011095
"OLS","Mean loss | Full","analysts",0.000687339563657823,0.0016579631377762,0.414568664403324,0.67860062798682,-0.00244400208633257,0.00389088132605275,"","Analysts covering","Mean loss across selected horizons","Full",-0.00244400208633257,0.00389088132605275,25000,25000,-0.00256854396071363,0.00394322308802928
"OLS","Mean loss | Full","log_turnover",0.00549163027596872,0.00372546257482418,1.47408010835484,0.140965940005878,-0.00166425853944294,0.0126968823642605,"","log(6m avg. daily turnover + 1)","Mean loss across selected horizons","Full",-0.00166425853944294,0.0126968823642605,25000,25000,-0.00182437810905597,0.0128076386609934
"OLS","Mean loss | Full","log_volatility_6m",-0.939633365531454,0.836065244287739,-1.12387564481519,0.261499343063504,-2.5268284081438,0.686025464065301,"","log(6m stock volatility)","Mean loss across selected horizons","Full",-2.5268284081438,0.686025464065301,25000,25000,-2.58148594485188,0.702219213788977
"OLS","Mean loss | Full","open_time_days",-0.0010793847960506,0.00199840502443198,-0.540123139631016,0.589305441349303,-0.00498740261119436,0.00275588796229988,"","Market open-to-resolution (days)","Mean loss across selected horizons","Full",-0.00498740261119436,0.00275588796229988,25000,25000,-0.0050038230696279,0.0028450534775267
"OLS","Mean loss | Full","post_first_market",0.0033958550068262,0.0175064423131286,0.193977448192289,0.84625687203651,-0.0300958801116608,0.0379295870450914,"","After first firm market","Mean loss across selected horizons","Full",-0.0300958801116608,0.0379295870450914,25000,25000,-0.0309830378641737,0.0377747478778261
"OLS","Loss at 6h | Ex-ante","(Intercept)",0.511683139183859,0.176328870999453,2.90186817554935,0.0038304970460383,0.167671053136214,0.85706739386109,"***","Constant","Loss at 6h","Ex-ante",0.167671053136214,0.85706739386109,25000,25000,0.165463182545503,0.857903095822216
"OLS","Loss at 6h | Ex-ante","eps_stddev",0.207674835193278,0.109512733464769,1.89635331548078,0.0583407079622007,0.000459109987886153,0.4278346470771,"*","Std. dev. of analyst estimates","Loss at 6h","Ex-ante",0.000459109987886153,0.4278346470771,25000,25000,-0.00735231048406235,0.422701980870619
"OLS","Loss at 6h | Ex-ante","log_market_cap",-0.0173694016354077,0.00761547287360096,-2.28080408448683,0.0228712918660016,-0.0324336841965245,-0.00249348506146662,"**","log(Market cap)","Loss at 6h","Ex-ante",-0.0324336841965245,-0.00249348506146662,25000,25000,-0.0323223056784835,-0.00241649759233198
"OLS","Loss at 6h | Ex-ante","analysts",-0.0000636688790344399,0.00102912149501592,-0.0618672132909392,0.950686918667405,-0.00204401893477149,0.00198591291974833,"","Analysts covering","Loss at 6h","Ex-ante",-0.00204401893477149,0.00198591291974833,25000,25000,-0.0020843385365922,0.00195700077852332
"OLS","Loss at 6h | Ex-ante","log_turnover",0.00519607029825106,0.00379319075826272,1.3698415474973,0.171192532001855,-0.00224051378043929,0.0125351569910375,"","log(6m avg. daily turnover + 1)","Loss at 6h","Ex-ante",-0.00224051378043929,0.0125351569910375,25000,25000,-0.0022518214304427,0.0126439620269448
"OLS","Loss at 6h | Ex-ante","log_volatility_6m",-0.799495271182259,0.960548683045426,-0.832331859169755,0.405516462107431,-2.65730741115368,1.09558025025868,"","log(6m stock volatility)","Loss at 6h","Ex-ante",-2.65730741115368,1.09558025025868,25000,25000,-2.68552290527316,1.08653236290864
"OLS","Loss at 6h | Ex-ante","open_time_days",-0.000427127550007017,0.0022541436037083,-0.189485509842562,0.84976935834752,-0.00481791943321812,0.00398180339112278,"","Market open-to-resolution (days)","Loss at 6h","Ex-ante",-0.00481791943321812,0.00398180339112278,25000,25000,-0.00485311574076074,0.00399886064074671
"OLS","Loss at 6h | Ex-ante","post_first_market",-0.00215425073723058,0.0188307969513266,-0.114400401788561,0.90895446544338,-0.0383760766039637,0.0347755531871505,"","After first firm market","Loss at 6h","Ex-ante",-0.0383760766039637,0.0347755531871505,25000,25000,-0.0391283302909652,0.0348198288165041
"OLS","Loss at 6h | Full","(Intercept)",0.275049205773838,0.187276512252463,1.46867966765128,0.142425232188424,-0.0900722801479381,0.628606028555104,"","Constant","Loss at 6h","Full",-0.0900722801479381,0.628606028555104,25000,25000,-0.0927216431983488,0.642820054746024
"OLS","Loss at 6h | Full","log_volume",-0.0166089808536141,0.0348328917005208,-0.476818892798551,0.633658561599779,-0.0822826303002743,0.0499907473255233,"","log(Polymarket volume + 1)","Loss at 6h","Full",-0.0822826303002743,0.0499907473255233,25000,25000,-0.0850132991462745,0.0517953374390462
"OLS","Loss at 6h | Full","log_volume_per_analyst",0.0231950875654864,0.0306244009429345,0.75740543002647,0.449093830784671,-0.0345460339605682,0.0814398158232116,"","log(Polymarket volume / analysts + 1)","Loss at 6h","Full",-0.0345460339605682,0.0814398158232116,25000,25000,-0.0369446587304326,0.0833348338614053
"OLS","Loss at 6h | Full","eps_stddev",0.354282334333863,0.123253412776549,2.87442210607308,0.00418599332012249,0.126897241567444,0.597810842204013,"***","Std. dev. of analyst estimates","Loss at 6h","Full",0.126897241567444,0.597810842204013,25000,25000,0.112239102588688,0.596325566079039
"OLS","Loss at 6h | Full","surprise",-0.302784930640586,0.0488057194518383,-6.20388212777758,0.00000000100536398312304,-0.3991498311869,-0.212060117304622,"***","Earnings surprise","Loss at 6h","Full",-0.3991498311869,-0.212060117304622,25000,25000,-0.398628881713873,-0.206940979567299
"OLS","Loss at 6h | Full","log_market_cap",-0.00739304806438974,0.00862190741223126,-0.857472449066405,0.391514097173043,-0.0238015687347314,0.00932414902297303,"","log(Market cap)","Loss at 6h","Full",-0.0238015687347314,0.00932414902297303,25000,25000,-0.0243246225080727,0.00953852637929324
"OLS","Loss at 6h | Full","analysts",0.000602185867661328,0.00186210745000224,0.323389430433031,0.746509027945138,-0.0028937030119688,0.00416407321049977,"","Analysts covering","Loss at 6h","Full",-0.0028937030119688,0.00416407321049977,25000,25000,-0.00305459324215869,0.00425896497748134
"OLS","Loss at 6h | Full","log_turnover",0.00525696960103025,0.00397697658604219,1.32185077968032,0.186703777980444,-0.00246621968307894,0.0128878218192811,"","log(6m avg. daily turnover + 1)","Loss at 6h","Full",-0.00246621968307894,0.0128878218192811,25000,25000,-0.00255295828474503,0.0130668974868055
"OLS","Loss at 6h | Full","log_volatility_6m",-0.430092921017121,1.04425806558094,-0.411864590940794,0.680580567466469,-2.40764547541161,1.60404136336428,"","log(6m stock volatility)","Loss at 6h","Full",-2.40764547541161,1.60404136336428,25000,25000,-2.48079148810188,1.62060564606764
"OLS","Loss at 6h | Full","open_time_days",-0.000481532186419095,0.00226269049144062,-0.212813987702096,0.831541780151733,-0.00493856411394281,0.00379428751117705,"","Market open-to-resolution (days)","Loss at 6h","Full",-0.00493856411394281,0.00379428751117705,25000,25000,-0.00492497035701365,0.00396190598417546
"OLS","Loss at 6h | Full","post_first_market",-0.0033588813113889,0.0193408046637241,-0.173668126522619,0.862182791774602,-0.0402994289576317,0.034896548997563,"","After first firm market","Loss at 6h","Full",-0.0402994289576317,0.034896548997563,25000,25000,-0.0413400678757467,0.0346223052529689
"Fractional logit","Mean loss | Ex-ante","(Intercept)",0.795605648946028,1.2297527283047,0.646963922611357,0.517655293128991,-1.59818293152299,3.2603342434584,"","Constant","Mean loss across selected horizons","Ex-ante",-1.59818293152299,3.2603342434584,25000,25000,-1.61466540842105,3.20587670631311
"Fractional logit","Mean loss | Ex-ante","eps_stddev",1.43055160388879,0.632699693012299,2.26102781412442,0.023757534762249,0.179112676719789,2.64610072200958,"**","Std. dev. of analyst estimates","Mean loss across selected horizons","Ex-ante",0.179112676719789,2.64610072200958,25000,25000,0.190482992555138,2.67062021522245
"Fractional logit","Mean loss | Ex-ante","log_market_cap",-0.124994580102513,0.0533718644407151,-2.34195641116033,0.0191829551547234,-0.23294513567013,-0.0225655562400291,"**","log(Market cap)","Mean loss across selected horizons","Ex-ante",-0.23294513567013,-0.0225655562400291,25000,25000,-0.229601512194069,-0.0203876480109575
"Fractional logit","Mean loss | Ex-ante","analysts",0.00190317043404075,0.00722625946487673,0.263368682413235,0.792266426563153,-0.0121632339294502,0.016124350834833,"","Analysts covering","Mean loss across selected horizons","Ex-ante",-0.0121632339294502,0.016124350834833,25000,25000,-0.0122600378600593,0.0160663787281408
"Fractional logit","Mean loss | Ex-ante","log_turnover",0.0445921617335663,0.0266983811127468,1.67021968655157,0.0948759063873917,-0.00665571486285524,0.0978516910423092,"*","log(6m avg. daily turnover + 1)","Mean loss across selected horizons","Ex-ante",-0.00665571486285524,0.0978516910423092,25000,25000,-0.00773570369294181,0.0969200271600744
"Fractional logit","Mean loss | Ex-ante","log_volatility_6m",-7.73543763318322,5.82890922823674,-1.32708150535451,0.184481722544077,-19.6362013213611,3.38665599449809,"","log(6m stock volatility)","Mean loss across selected horizons","Ex-ante",-19.6362013213611,3.38665599449809,25000,25000,-19.1598897896804,3.68901452331395
"Fractional logit","Mean loss | Ex-ante","open_time_days",-0.00430298127311038,0.0153540876902519,-0.280249882631729,0.779285798497391,-0.035110316757279,0.024749033848258,"","Market open-to-resolution (days)","Mean loss across selected horizons","Ex-ante",-0.035110316757279,0.024749033848258,25000,25000,-0.034396440161474,0.0257904776152532
"Fractional logit","Mean loss | Ex-ante","post_first_market",0.033583317461634,0.130031606968314,0.258270417820935,0.796198215116393,-0.220622608548,0.289749090873886,"","After first firm market","Mean loss across selected horizons","Ex-ante",-0.220622608548,0.289749090873886,25000,25000,-0.221273949048129,0.288440583971397
"Fractional logit","Mean loss | Full","(Intercept)",-1.39990709599888,1.2513769965977,-1.11869332727468,0.263270992859115,-3.89437818010828,1.04375008905416,"","Constant","Mean loss across selected horizons","Full",-3.89437818010828,1.04375008905416,25000,25000,-3.85256094041228,1.05274674841451
"Fractional logit","Mean loss | Full","log_volume",0.0417620829639734,0.217645426150772,0.191881280036839,0.847835201334796,-0.358589261191695,0.482178301225949,"","log(Polymarket volume + 1)","Mean loss across selected horizons","Full",-0.358589261191695,0.482178301225949,25000,25000,-0.384815113691411,0.468339279619358
"Fractional logit","Mean loss | Full","log_volume_per_analyst",0.118439073665801,0.195584571900324,0.605564500896118,0.544803981217437,-0.279736398149136,0.48024102642716,"","log(Polymarket volume / analysts + 1)","Mean loss across selected horizons","Full",-0.279736398149136,0.48024102642716,25000,25000,-0.264899643190519,0.50177779052212
"Fractional logit","Mean loss | Full","eps_stddev",1.7876501947808,0.741237493100512,2.41171043210897,0.0158778863018198,0.371583522869186,3.22523805659658,"**","Std. dev. of analyst estimates","Mean loss across selected horizons","Full",0.371583522869186,3.22523805659658,25000,25000,0.334851404313043,3.24044898524856
"Fractional logit","Mean loss | Full","surprise",-2.464967333719,0.335319800378934,-7.35109388390851,0.000000000000196591270482149,-3.17650287387718,-1.87067316631138,"***","Earnings surprise","Mean loss across selected horizons","Full",-3.17650287387718,-1.87067316631138,25000,25000,-3.12218206576487,-1.80775260167313
"Fractional logit","Mean loss | Full","log_market_cap",-0.075639910371385,0.0568478427114987,-1.33056782392351,0.183331255634078,-0.187878245092588,0.0344073128350268,"","log(Market cap)","Mean loss across selected horizons","Full",-0.187878245092588,0.0344073128350268,25000,25000,-0.18705963468472,0.0357798139419503
"Fractional logit","Mean loss | Full","analysts",0.00533877970658142,0.0125983621425464,0.423767760140155,0.671735192591019,-0.0202057006407714,0.0285085327868783,"","Analysts covering","Mean loss across selected horizons","Full",-0.0202057006407714,0.0285085327868783,25000,25000,-0.0193535563570024,0.0300311157701653
"Fractional logit","Mean loss | Full","log_turnover",0.0430286999419679,0.0294110611638164,1.46301079387455,0.143464425436498,-0.0135408071945744,0.102095500953868,"","log(6m avg. daily turnover + 1)","Mean loss across selected horizons","Full",-0.0135408071945744,0.102095500953868,25000,25000,-0.0146159206862169,0.100673320570153
"Fractional logit","Mean loss | Full","log_volatility_6m",-8.24849232715846,6.2481484402542,-1.32014986616145,0.186784986508691,-20.6076739520139,3.74848078911633,"","log(6m stock volatility)","Mean loss across selected horizons","Full",-20.6076739520139,3.74848078911633,25000,25000,-20.4946382401168,3.99765358579988
"Fractional logit","Mean loss | Full","open_time_days",-0.0113047239004325,0.0156533635368879,-0.722191359945889,0.470176834624737,-0.0430547711739216,0.0175400269800989,"","Market open-to-resolution (days)","Mean loss across selected horizons","Full",-0.0430547711739216,0.0175400269800989,25000,25000,-0.0419847526696453,0.0193753048687803
"Fractional logit","Mean loss | Full","post_first_market",0.035911671169207,0.133593676683709,0.268812656861223,0.788073852966775,-0.22262040899811,0.300515921235353,"","After first firm market","Mean loss across selected horizons","Full",-0.22262040899811,0.300515921235353,25000,25000,-0.22592712369315,0.297750466031564
"Fractional logit","Loss at 6h | Ex-ante","(Intercept)",1.01471471325941,1.3664361554925,0.742599432238879,0.457724232372625,-1.58334661349692,3.76439269322527,"","Constant","Loss at 6h","Ex-ante",-1.58334661349692,3.76439269322527,25000,25000,-1.66345093867926,3.69288036519807
"Fractional logit","Loss at 6h | Ex-ante","eps_stddev",1.49356493053915,0.733762584067924,2.03548799430319,0.0418017953496263,0.0223396583706951,2.88764723031514,"**","Std. dev. of analyst estimates","Loss at 6h","Ex-ante",0.0223396583706951,2.88764723031514,25000,25000,0.0554166925629735,2.93171316851532
"Fractional logit","Loss at 6h | Ex-ante","log_market_cap",-0.132622471966184,0.0596542876754847,-2.22318423593693,0.0262033793705158,-0.254519934376369,-0.0199690198429295,"**","log(Market cap)","Loss at 6h","Ex-ante",-0.254519934376369,-0.0199690198429295,25000,25000,-0.249542727333525,-0.0157022165988424
